	Gene ID	Present
0	ENSSSCG00000000002	True
1	ENSSSCG00000000003	True
2	ENSSSCG00000000005	True
3	ENSSSCG00000000006	True
4	ENSSSCG00000000007	True
5	ENSSSCG00000000010	True
6	ENSSSCG00000000014	True
7	ENSSSCG00000000018	True
8	ENSSSCG00000000019	True
9	ENSSSCG00000000020	False
10	ENSSSCG00000000021	True
11	ENSSSCG00000000022	True
12	ENSSSCG00000000024	True
13	ENSSSCG00000000025	True
14	ENSSSCG00000000026	False
15	ENSSSCG00000000029	True
16	ENSSSCG00000000031	True
17	ENSSSCG00000000033	True
18	ENSSSCG00000000034	True
19	ENSSSCG00000000035	True
20	ENSSSCG00000000036	True
21	ENSSSCG00000000037	True
22	ENSSSCG00000000038	True
23	ENSSSCG00000000039	True
24	ENSSSCG00000000040	True
25	ENSSSCG00000000045	True
26	ENSSSCG00000000046	True
27	ENSSSCG00000000050	True
28	ENSSSCG00000000058	True
29	ENSSSCG00000000059	True
30	ENSSSCG00000000061	True
31	ENSSSCG00000000062	True
32	ENSSSCG00000000063	True
33	ENSSSCG00000000064	True
34	ENSSSCG00000000066	True
35	ENSSSCG00000000068	True
36	ENSSSCG00000000071	True
37	ENSSSCG00000000072	True
38	ENSSSCG00000000074	False
39	ENSSSCG00000000076	True
40	ENSSSCG00000000077	True
41	ENSSSCG00000000078	True
42	ENSSSCG00000000079	False
43	ENSSSCG00000000080	False
44	ENSSSCG00000000081	False
45	ENSSSCG00000000087	True
46	ENSSSCG00000000091	True
47	ENSSSCG00000000092	False
48	ENSSSCG00000000093	True
49	ENSSSCG00000000094	True
50	ENSSSCG00000000095	True
51	ENSSSCG00000000097	True
52	ENSSSCG00000000103	False
53	ENSSSCG00000000104	True
54	ENSSSCG00000000105	True
55	ENSSSCG00000000107	True
56	ENSSSCG00000000108	True
57	ENSSSCG00000000110	True
58	ENSSSCG00000000111	True
59	ENSSSCG00000000113	False
60	ENSSSCG00000000114	True
61	ENSSSCG00000000116	True
62	ENSSSCG00000000117	True
63	ENSSSCG00000000118	True
64	ENSSSCG00000000119	True
65	ENSSSCG00000000120	True
66	ENSSSCG00000000121	False
67	ENSSSCG00000000130	True
68	ENSSSCG00000000133	True
69	ENSSSCG00000000135	True
70	ENSSSCG00000000136	True
71	ENSSSCG00000000137	True
72	ENSSSCG00000000138	True
73	ENSSSCG00000000139	True
74	ENSSSCG00000000141	True
75	ENSSSCG00000000142	True
76	ENSSSCG00000000144	True
77	ENSSSCG00000000145	True
78	ENSSSCG00000000146	True
79	ENSSSCG00000000148	True
80	ENSSSCG00000000151	False
81	ENSSSCG00000000152	True
82	ENSSSCG00000000156	True
83	ENSSSCG00000000157	True
84	ENSSSCG00000000158	True
85	ENSSSCG00000000160	True
86	ENSSSCG00000000161	True
87	ENSSSCG00000000162	True
88	ENSSSCG00000000164	True
89	ENSSSCG00000000167	True
90	ENSSSCG00000000171	True
91	ENSSSCG00000000174	True
92	ENSSSCG00000000175	True
93	ENSSSCG00000000176	True
94	ENSSSCG00000000179	True
95	ENSSSCG00000000182	True
96	ENSSSCG00000000183	False
97	ENSSSCG00000000184	False
98	ENSSSCG00000000185	True
99	ENSSSCG00000000186	True
100	ENSSSCG00000000188	False
101	ENSSSCG00000000189	True
102	ENSSSCG00000000190	True
103	ENSSSCG00000000194	True
104	ENSSSCG00000000195	False
105	ENSSSCG00000000197	False
106	ENSSSCG00000000198	False
107	ENSSSCG00000000199	True
108	ENSSSCG00000000202	True
109	ENSSSCG00000000203	False
110	ENSSSCG00000000204	True
111	ENSSSCG00000000205	True
112	ENSSSCG00000000206	True
113	ENSSSCG00000000209	True
114	ENSSSCG00000000211	False
115	ENSSSCG00000000212	False
116	ENSSSCG00000000214	True
117	ENSSSCG00000000215	True
118	ENSSSCG00000000216	True
119	ENSSSCG00000000217	True
120	ENSSSCG00000000220	True
121	ENSSSCG00000000223	True
122	ENSSSCG00000000228	True
123	ENSSSCG00000000231	False
124	ENSSSCG00000000232	True
125	ENSSSCG00000000233	True
126	ENSSSCG00000000234	True
127	ENSSSCG00000000235	False
128	ENSSSCG00000000236	False
129	ENSSSCG00000000238	False
130	ENSSSCG00000000239	False
131	ENSSSCG00000000240	False
132	ENSSSCG00000000241	False
133	ENSSSCG00000000247	False
134	ENSSSCG00000000248	False
135	ENSSSCG00000000249	False
136	ENSSSCG00000000250	False
137	ENSSSCG00000000251	False
138	ENSSSCG00000000252	True
139	ENSSSCG00000000253	True
140	ENSSSCG00000000257	True
141	ENSSSCG00000000258	True
142	ENSSSCG00000000259	True
143	ENSSSCG00000000260	True
144	ENSSSCG00000000261	True
145	ENSSSCG00000000262	True
146	ENSSSCG00000000263	True
147	ENSSSCG00000000264	True
148	ENSSSCG00000000265	True
149	ENSSSCG00000000267	True
150	ENSSSCG00000000268	True
151	ENSSSCG00000000271	True
152	ENSSSCG00000000272	True
153	ENSSSCG00000000273	True
154	ENSSSCG00000000274	True
155	ENSSSCG00000000275	True
156	ENSSSCG00000000276	True
157	ENSSSCG00000000277	True
158	ENSSSCG00000000278	True
159	ENSSSCG00000000279	False
160	ENSSSCG00000000281	False
161	ENSSSCG00000000288	True
162	ENSSSCG00000000289	False
163	ENSSSCG00000000290	True
164	ENSSSCG00000000291	False
165	ENSSSCG00000000292	True
