trial_no,mse,r2,epochs,batch_size,lr,weight_decay,conv_channels,kernel_size,fc_units,num_blocks
0,0.30352452397346497,0.3318209648132324,13,53,0.00016416812721342801,7.610090004390244e-07,155,5,187,4
1,0.30908483266830444,0.3195805549621582,19,116,0.012813933354108492,5.667215620548617e-05,208,5,77,4
2,0.3339047133922577,0.2649420499801636,28,38,0.08221071092835792,0.00020070166655618293,198,5,138,3
3,0.3105846643447876,0.3162788152694702,14,81,0.002751534005786319,0.00020219626069663252,238,5,225,3
4,0.33262118697166443,0.26776760816574097,13,64,9.489016813060835e-05,0.00030309464776753764,109,5,125,2
5,0.3506966531276703,0.2279762625694275,22,33,0.05625173676968199,0.0007172794970359235,76,5,69,2
6,0.31177669763565063,0.31365466117858887,13,62,0.0019739219562109615,2.649675675817581e-06,95,5,204,3
7,0.3063884675502777,0.32551634311676025,15,44,0.0024654880969298036,9.538790299923371e-05,119,5,66,2
8,0.31198838353157043,0.31318867206573486,14,37,0.0012626151031770911,3.4462505724734404e-06,198,5,74,2
9,0.35750970244407654,0.21297800540924072,25,56,1.1470180689824463e-05,0.00011728219466854723,77,5,65,3
10,0.32421186566352844,0.28627991676330566,48,95,0.00011085211141925716,1.0495801824090136e-07,150,5,173,4
11,0.33509328961372375,0.2623255252838135,14,46,0.0001629386367983982,4.45402201446353e-07,146,5,108,4
12,0.3168696463108063,0.3024430274963379,14,48,0.0003512389510252649,2.2103949633543525e-05,127,5,97,2
13,0.35388365387916565,0.22096037864685059,15,46,2.0179617851399282e-05,5.895728673504353e-06,155,5,163,2
14,0.3034459352493286,0.33199405670166016,18,75,0.007774459073484763,8.38143031932968e-07,106,5,90,4
15,0.3130339980125427,0.31088685989379883,17,78,0.010424545576551897,9.39599896276105e-07,100,5,254,4
16,0.31033191084861755,0.3168352246284485,19,74,0.009560164691153844,2.729342843441307e-07,89,5,90,4
17,0.30916690826416016,0.319399893283844,14,98,0.000506421371019926,1.303477419407283e-06,165,5,134,3
18,0.3621617555618286,0.20273703336715698,15,58,3.803434091174839e-05,1.5090707689721087e-05,131,5,174,4
19,0.30605995655059814,0.3262394666671753,13,93,0.0004797117505150398,1.244021418898076e-07,64,5,111,3
20,0.32607585191726685,0.28217649459838867,21,68,0.020563039773338572,7.882518663726021e-07,167,5,90,4
21,0.31931182742118835,0.297066867351532,14,89,0.0006039517287186579,1.0952531225313274e-07,68,5,119,3
22,0.3343881368637085,0.26387786865234375,16,115,0.0002283790268434291,2.659188435679601e-07,83,5,106,3
23,0.3033110499382019,0.33229100704193115,14,54,0.004912834135119153,2.663813139663986e-07,67,5,85,4
24,0.32913702726364136,0.2754376530647278,14,53,0.004231930666730672,1.7634707678897364e-06,105,5,83,4
