Gene ID,Majority detection flag
ENSG00000000003,present
ENSG00000000005,present
ENSG00000000419,present
ENSG00000000457,present
ENSG00000000460,present
ENSG00000000938,present
ENSG00000000971,present
ENSG00000001036,present
ENSG00000001084,present
ENSG00000001167,present
ENSG00000001460,present
ENSG00000001461,present
ENSG00000001497,present
ENSG00000001561,present
ENSG00000001617,present
ENSG00000001626,present
ENSG00000001629,present
ENSG00000001630,present
ENSG00000001631,present
ENSG00000002016,present
ENSG00000002079,present
ENSG00000002330,present
ENSG00000002549,present
ENSG00000002586,present
ENSG00000002587,present
ENSG00000002726,present
ENSG00000002745,present
ENSG00000002746,present
ENSG00000002822,present
ENSG00000002834,present
ENSG00000002919,present
ENSG00000002933,present
ENSG00000003056,present
ENSG00000003096,present
ENSG00000003137,present
ENSG00000003147,present
ENSG00000003249,present
ENSG00000003393,present
ENSG00000003400,present
ENSG00000003402,present
ENSG00000003436,present
ENSG00000003509,present
ENSG00000003756,present
ENSG00000003987,present
ENSG00000003989,present
ENSG00000004059,present
ENSG00000004139,present
ENSG00000004142,present
ENSG00000004399,present
ENSG00000004455,present
ENSG00000004468,present
ENSG00000004478,present
ENSG00000004487,present
ENSG00000004534,present
ENSG00000004660,present
ENSG00000004700,present
ENSG00000004766,present
ENSG00000004776,present
ENSG00000004777,present
ENSG00000004779,present
ENSG00000004799,present
ENSG00000004809,present
ENSG00000004838,present
ENSG00000004846,present
ENSG00000004848,present
ENSG00000004864,present
ENSG00000004866,present
ENSG00000004897,present
ENSG00000004939,absent
ENSG00000004948,present
ENSG00000004961,present
ENSG00000004975,present
ENSG00000005001,present
ENSG00000005007,present
ENSG00000005020,present
ENSG00000005022,present
ENSG00000005059,present
ENSG00000005073,present
ENSG00000005075,present
ENSG00000005100,present
ENSG00000005102,present
ENSG00000005108,present
ENSG00000005156,present
ENSG00000005175,present
ENSG00000005187,present
ENSG00000005189,present
ENSG00000005194,present
ENSG00000005206,present
ENSG00000005238,present
ENSG00000005243,present
ENSG00000005249,present
ENSG00000005302,present
ENSG00000005339,present
ENSG00000005379,present
ENSG00000005381,present
ENSG00000005421,present
ENSG00000005436,present
ENSG00000005448,present
ENSG00000005469,present
ENSG00000005471,present
ENSG00000005483,present
ENSG00000005486,present
ENSG00000005513,present
ENSG00000005700,present
ENSG00000005801,present
ENSG00000005810,present
ENSG00000005812,present
ENSG00000005844,present
ENSG00000005882,present
ENSG00000005884,present
ENSG00000005889,present
ENSG00000005893,present
ENSG00000005961,present
ENSG00000005981,present
ENSG00000006007,present
ENSG00000006015,present
ENSG00000006016,present
ENSG00000006025,present
ENSG00000006042,present
ENSG00000006047,present
ENSG00000006059,absent
ENSG00000006062,present
ENSG00000006071,present
ENSG00000006116,absent
ENSG00000006118,present
ENSG00000006125,present
ENSG00000006128,present
ENSG00000006194,present
ENSG00000006210,present
ENSG00000006282,present
ENSG00000006283,present
ENSG00000006327,present
ENSG00000006377,present
ENSG00000006432,present
ENSG00000006451,present
ENSG00000006453,present
ENSG00000006459,present
ENSG00000006468,present
ENSG00000006530,present
ENSG00000006534,present
ENSG00000006555,present
ENSG00000006576,present
ENSG00000006606,present
ENSG00000006607,present
ENSG00000006611,present
ENSG00000006625,present
ENSG00000006634,present
ENSG00000006638,present
ENSG00000006652,present
ENSG00000006659,absent
ENSG00000006695,present
ENSG00000006704,present
ENSG00000006712,present
ENSG00000006715,present
ENSG00000006740,present
ENSG00000006744,present
ENSG00000006747,present
ENSG00000006756,present
ENSG00000006757,present
ENSG00000006788,absent
ENSG00000006831,present
ENSG00000006837,present
ENSG00000007001,absent
ENSG00000007038,present
ENSG00000007047,present
ENSG00000007062,present
ENSG00000007080,present
ENSG00000007129,present
ENSG00000007168,present
ENSG00000007171,present
ENSG00000007174,present
ENSG00000007202,present
ENSG00000007216,absent
ENSG00000007237,present
ENSG00000007255,present
ENSG00000007264,present
ENSG00000007306,present
ENSG00000007312,present
ENSG00000007314,present
ENSG00000007341,present
ENSG00000007350,present
ENSG00000007372,present
ENSG00000007376,present
ENSG00000007384,present
ENSG00000007392,present
ENSG00000007402,present
ENSG00000007516,present
ENSG00000007520,present
ENSG00000007541,present
ENSG00000007545,present
ENSG00000007866,present
ENSG00000007908,present
ENSG00000007923,present
ENSG00000007933,present
ENSG00000007944,present
ENSG00000007952,present
ENSG00000007968,present
ENSG00000008018,present
ENSG00000008056,present
ENSG00000008083,present
ENSG00000008086,present
ENSG00000008118,present
ENSG00000008128,present
ENSG00000008130,present
ENSG00000008196,absent
ENSG00000008197,absent
ENSG00000008226,present
ENSG00000008256,present
ENSG00000008277,present
ENSG00000008282,present
ENSG00000008283,present
ENSG00000008294,present
ENSG00000008300,present
ENSG00000008311,present
ENSG00000008323,present
ENSG00000008324,present
ENSG00000008382,present
ENSG00000008394,present
ENSG00000008405,present
ENSG00000008438,present
ENSG00000008441,present
ENSG00000008513,present
ENSG00000008516,present
ENSG00000008517,present
ENSG00000008710,present
ENSG00000008735,present
ENSG00000008838,present
ENSG00000008853,present
ENSG00000008869,present
ENSG00000008952,present
ENSG00000008988,present
ENSG00000009307,present
ENSG00000009335,present
ENSG00000009413,present
ENSG00000009694,present
ENSG00000009709,absent
ENSG00000009724,present
