Gene ID,Majority detection flag
ENSSSCG00000000002,absent
ENSSSCG00000000003,present
ENSSSCG00000000005,present
ENSSSCG00000000006,present
ENSSSCG00000000007,present
ENSSSCG00000000010,present
ENSSSCG00000000014,present
ENSSSCG00000000018,present
ENSSSCG00000000019,present
ENSSSCG00000000020,absent
ENSSSCG00000000021,absent
ENSSSCG00000000022,present
ENSSSCG00000000024,absent
ENSSSCG00000000025,present
ENSSSCG00000000026,absent
ENSSSCG00000000028,absent
ENSSSCG00000000029,absent
ENSSSCG00000000031,present
ENSSSCG00000000033,present
ENSSSCG00000000034,present
ENSSSCG00000000035,present
ENSSSCG00000000036,present
ENSSSCG00000000037,present
ENSSSCG00000000038,present
ENSSSCG00000000039,present
ENSSSCG00000000040,present
ENSSSCG00000000045,present
ENSSSCG00000000046,absent
ENSSSCG00000000050,present
ENSSSCG00000000057,absent
ENSSSCG00000000058,present
ENSSSCG00000000059,present
ENSSSCG00000000061,present
ENSSSCG00000000062,present
ENSSSCG00000000063,present
ENSSSCG00000000064,present
ENSSSCG00000000066,present
ENSSSCG00000000067,absent
ENSSSCG00000000068,present
ENSSSCG00000000071,present
ENSSSCG00000000072,present
ENSSSCG00000000073,absent
ENSSSCG00000000074,absent
ENSSSCG00000000075,present
ENSSSCG00000000076,present
ENSSSCG00000000077,present
ENSSSCG00000000078,present
ENSSSCG00000000079,absent
ENSSSCG00000000080,absent
ENSSSCG00000000081,absent
ENSSSCG00000000082,absent
ENSSSCG00000000084,present
ENSSSCG00000000087,present
ENSSSCG00000000091,present
ENSSSCG00000000092,absent
ENSSSCG00000000093,present
ENSSSCG00000000094,present
ENSSSCG00000000095,present
ENSSSCG00000000097,present
ENSSSCG00000000103,absent
ENSSSCG00000000104,present
ENSSSCG00000000105,present
ENSSSCG00000000106,absent
ENSSSCG00000000107,present
ENSSSCG00000000108,present
ENSSSCG00000000110,present
ENSSSCG00000000111,absent
ENSSSCG00000000113,absent
ENSSSCG00000000114,present
ENSSSCG00000000116,present
ENSSSCG00000000117,present
ENSSSCG00000000118,present
ENSSSCG00000000119,present
ENSSSCG00000000120,present
ENSSSCG00000000121,absent
ENSSSCG00000000130,present
ENSSSCG00000000131,absent
ENSSSCG00000000132,absent
ENSSSCG00000000133,present
ENSSSCG00000000135,present
ENSSSCG00000000136,present
ENSSSCG00000000137,present
ENSSSCG00000000138,absent
ENSSSCG00000000139,present
ENSSSCG00000000141,present
ENSSSCG00000000142,present
ENSSSCG00000000144,present
ENSSSCG00000000145,present
ENSSSCG00000000146,present
ENSSSCG00000000148,present
ENSSSCG00000000151,absent
ENSSSCG00000000152,present
ENSSSCG00000000156,present
ENSSSCG00000000157,absent
ENSSSCG00000000158,present
ENSSSCG00000000159,absent
ENSSSCG00000000160,present
ENSSSCG00000000161,present
ENSSSCG00000000162,present
ENSSSCG00000000164,present
ENSSSCG00000000167,present
ENSSSCG00000000169,present
ENSSSCG00000000171,present
ENSSSCG00000000174,present
ENSSSCG00000000175,present
ENSSSCG00000000176,present
ENSSSCG00000000179,present
ENSSSCG00000000182,absent
ENSSSCG00000000183,absent
ENSSSCG00000000184,absent
ENSSSCG00000000185,present
ENSSSCG00000000186,absent
ENSSSCG00000000188,absent
ENSSSCG00000000189,present
ENSSSCG00000000190,present
ENSSSCG00000000194,present
ENSSSCG00000000195,absent
ENSSSCG00000000197,absent
ENSSSCG00000000198,absent
ENSSSCG00000000199,present
ENSSSCG00000000202,present
ENSSSCG00000000203,absent
ENSSSCG00000000204,present
ENSSSCG00000000205,absent
ENSSSCG00000000206,present
ENSSSCG00000000207,present
ENSSSCG00000000209,present
ENSSSCG00000000211,absent
ENSSSCG00000000212,absent
ENSSSCG00000000214,present
ENSSSCG00000000215,present
ENSSSCG00000000216,absent
ENSSSCG00000000217,present
ENSSSCG00000000220,absent
ENSSSCG00000000223,present
ENSSSCG00000000228,absent
ENSSSCG00000000231,absent
ENSSSCG00000000232,present
ENSSSCG00000000233,present
ENSSSCG00000000234,absent
ENSSSCG00000000235,absent
ENSSSCG00000000236,absent
ENSSSCG00000000238,absent
ENSSSCG00000000239,absent
ENSSSCG00000000240,absent
ENSSSCG00000000241,absent
ENSSSCG00000000247,absent
ENSSSCG00000000248,absent
ENSSSCG00000000249,absent
ENSSSCG00000000250,absent
ENSSSCG00000000251,absent
ENSSSCG00000000252,present
ENSSSCG00000000253,present
ENSSSCG00000000257,absent
ENSSSCG00000000258,present
ENSSSCG00000000259,present
ENSSSCG00000000260,absent
ENSSSCG00000000261,present
ENSSSCG00000000262,present
ENSSSCG00000000263,present
ENSSSCG00000000264,present
ENSSSCG00000000265,absent
ENSSSCG00000000267,present
ENSSSCG00000000268,present
ENSSSCG00000000271,absent
ENSSSCG00000000272,present
ENSSSCG00000000273,present
ENSSSCG00000000274,present
ENSSSCG00000000275,present
ENSSSCG00000000276,present
ENSSSCG00000000277,present
ENSSSCG00000000278,present
ENSSSCG00000000279,absent
ENSSSCG00000000281,absent
ENSSSCG00000000288,present
ENSSSCG00000000289,absent
ENSSSCG00000000290,present
ENSSSCG00000000291,absent
ENSSSCG00000000292,present
ENSSSCG00000000293,present
ENSSSCG00000000295,present
