Library ID,Anatomical entity name,Read count
ERX1886666,pituitary gland,29808325.680765886
ERX1886693,pituitary gland,11361758.418164006
ERX1886699,pituitary gland,25019720.923552904
ERX1886697,stomach,16807448.429888036
ERX1886703,stomach,16147848.978139995
ERX1886712,pons,24555483.77098791
ERX1886721,pons,16344815.223250931
ERX1886688,penis,20987127.172245055
ERX1886689,penis,19737845.209755044
ERX1886675,uterus,18759186.748746004
ERX1886673,skeletal muscle tissue,37176910.987477794
ERX1886692,skeletal muscle tissue,23274783.721723974
ERX1886669,caecum,30484099.854023926
ERX1886670,caecum,38778136.5588131
ERX1886680,caecum,28739850.488082968
ERX1886706,caecum,21122043.43380402
ERX1886694,colon,20866555.917297024
ERX1886700,colon,24700877.713808093
ERX1886686,epididymis,23795796.60489905
ERX1886687,epididymis,20500539.04324003
ERX1886708,frontal cortex,16367082.174699966
ERX1886717,frontal cortex,17752688.45178797
ERX1886713,amygdala,23516964.271976035
ERX1886704,amygdala,23981108.945376124
ERX1886711,medulla oblongata,19035451.965427976
ERX1886720,medulla oblongata,23888060.20457995
ERX1886716,dorsal plus ventral thalamus,27786685.85750094
ERX1886725,dorsal plus ventral thalamus,16816894.911745984
ERX1886714,cerebellum,15916445.69811205
ERX1886722,cerebellum,15560926.469931036
ERX1886668,heart left ventricle,43990156.70928428
ERX1886679,heart left ventricle,39344347.549615845
ERX1886674,spleen,23066529.77640095
ERX1886683,spleen,18239845.515547965
ERX1886695,duodenum,12029863.518830013
ERX1886701,duodenum,87094398.89929819
ERX1886696,ileum,18553394.306351
ERX1886702,ileum,22519019.59968208
ERX1886710,brainstem,15214485.978531882
ERX1886719,brainstem,23130036.22169699
ERX1886715,corpus callosum,17935158.52641502
ERX1886723,corpus callosum,21018922.18548212
ERX1886684,tonsil,29553065.962493002
ERX1886685,tonsil,48144481.51792421
ERX1886698,hippocampal formation,21418011.463075973
ERX1886724,hippocampal formation,25141013.71884097
ERX1886671,mesenteric lymph node,27851340.00660098
ERX1886672,mesenteric lymph node,31335908.611775007
ERX1886681,mesenteric lymph node,24650636.510324005
ERX1886682,mesenteric lymph node,16051583.966833001
ERX1886677,omentum,21753144.095981944
ERX1886691,omentum,19992785.150358975
ERX1886667,metanephros cortex,34941933.72068585
ERX1886678,metanephros cortex,38910595.525448844
ERX1886709,occipital cortex,22059911.459461965
ERX1886718,occipital cortex,15200021.70714596
