Library ID,Anatomical entity name,Read count,Denominator
ERX009445,heart,2170884.099234992,593131.2075083557
ERX009447,heart,12585565.31377599,3053766.5049840137
ERX013539,heart,18522549.799885973,4673386.930388877
ERX009448,brain,6993123.414924014,1978086.268243591
ERX009449,brain,10639100.610733988,2962418.064433094
ERX013540,brain,16709990.75101402,2785655.788061609
ERX009444,swim bladder,3237177.454475988,470929.1723047997
ERX009450,swim bladder,13470984.7972089,1843402.0153985997
ERX013538,swim bladder,14405199.714639997,2113771.363343312
ERX009443,head kidney,12848313.481416056,2626517.497699006
ERX009446,head kidney,3634421.8213039963,807144.4809029984
ERX013537,head kidney,15268068.006342994,2698258.952549652
