Library ID,Anatomical entity name,Read count
SRX661008,mesonephros,37178850.573384844
SRX661010,intestine,35598694.78435911
SRX661004,pharyngeal gill,40095540.51433993
SRX661014,testis,40654584.825044945
SRX661011,embryo,44883290.42084158
SRX661005,heart,56322913.18135626
SRX661003,brain,23418765.53417093
SRX661013,ovary,18805743.09265197
SRX661009,bone element,74537157.01186457
SRX661007,liver,49246015.39353668
SRX661006,muscle tissue,30543289.77247291
SRX661012,mature ovarian follicle,21746846.32094093
