gene_id,gene_name
ENSDARG00000111501,novel gene
ENSDARG00000111619,novel gene
ENSDARG00000112491,novel gene
ENSDARG00000112528,novel gene
ENSDARG00000114534,novel gene
ENSDARG00000115054,novel gene
ENSDARG00000115281,novel gene
ENSDARG00000115799,novel gene
ENSDARG00000116781,novel gene
ENSDARG00000105318,novel gene
ENSDARG00000105352,novel gene
ENSDARG00000105353,novel gene
ENSDARG00000105376,novel gene
ENSDARG00000105382,novel gene
ENSDARG00000105409,novel gene
ENSDARG00000105482,novel gene
ENSDARG00000110152,novel gene
ENSDARG00000110812,novel gene
ENSDARG00000111494,novel gene
ENSDARG00000111753,novel gene
ENSDARG00000101249,novel gene
ENSDARG00000054058,h1-10
ENSDARG00000004851,hinfp
ENSDARG00000112840,novel gene
ENSDARG00000102892,h1m
ENSDARG00000105444,novel gene
ENSDARG00000105508,hist2h3ca1
ENSDARG00000088686,hist1h2a11
ENSDARG00000099123,hist1h2a7
ENSDARG00000103015,hist1h2a2
ENSDARG00000074012,h1l1
ENSDARG00000114133,hist1h2a5
ENSDARG00000115766,histh1l3
ENSDARG00000105350,histh1l2
ENSDARG00000100024,hist1h2a6
ENSDARG00000105366,novel gene
ENSDARG00000086552,novel gene
ENSDARG00000098595,novel gene
ENSDARG00000035519,histh1l1
ENSDARG00000051736,hist1h2a4
ENSDARG00000029406,h2ax
ENSDARG00000038559,h1-0
ENSDARG00000109458,hist1h2a1
ENSDARG00000099329,macroh2a1
ENSDARG00000020504,h3f3b.1
ENSDARG00000068820,h2az2a
ENSDARG00000098739,h2af1al
ENSDARG00000033009,h3f3c
ENSDARG00000116491,h2az2b
ENSDARG00000087897,macroh2a2
ENSDARG00000045248,h3f3d
ENSDARG00000068434,h3f3b.1
ENSDARG00000068996,hist2h2l
ENSDARG00000111005,h3f3c
ENSDARG00000112150,hist2h2l
ENSDARG00000094154,hist2h3c
ENSDARG00000110809,hist1h2a3
ENSDARG00000068995,h2ax1
ENSDARG00000110429,h2ax1
ENSDARG00000055415,zp2l1
ENSDARG00000033757,ncaph2
ENSDARG00000091409,zp2.6
ENSDARG00000073899,nemp1
ENSDARG00000077523,tdrd7b
ENSDARG00000020509,srd5a1
ENSDARG00000034907,paqr7b
ENSDARG00000036227,npvf
ENSDARG00000012718,wee2
ENSDARG00000041411,rad51
ENSDARG00000037677,fgf24
ENSDARG00000077531,bag6l
ENSDARG00000005595,adgb
ENSDARG00000022813,dnd1
ENSDARG00000109337,nanos1
ENSDARG00000116848,izumo1
ENSDARG00000087911,psme4a
ENSDARG00000076609,si:ch211-199g17.9
ENSDARG00000014498,ythdf2
ENSDARG00000012505,u2af2a
ENSDARG00000070013,dmrt2b
ENSDARG00000014039,tdrd15
ENSDARG00000002168,tra2b
ENSDARG00000024546,pla2g4aa
ENSDARG00000003229,gdf9
ENSDARG00000100593,gnrhr1
ENSDARG00000062601,piwil2
ENSDARG00000043912,mei4
ENSDARG00000053728,ttll3
ENSDARG00000058346,sass6
ENSDARG00000040505,yif1b
ENSDARG00000021833,ahr2
ENSDARG00000044182,stau1
ENSDARG00000096603,bmb
ENSDARG00000034195,top2b
ENSDARG00000021997,cfap206
ENSDARG00000020764,slmapb
ENSDARG00000061759,kdm6a
ENSDARG00000087238,si:ch211-161h7.4
ENSDARG00000006137,star
ENSDARG00000032013,pafah1b1a
ENSDARG00000069428,slbp2
ENSDARG00000099485,m1ap
ENSDARG00000004757,ybx1
