Unnamed: 0,Gene,sox2,gata1a,foxh1,sall4,nanog,smad2,rad21a,eomesa,ctcf,hif1ab,pou5f1,rnf2,tbxta,zic3,tbx6,sox10,tbx16,ensembl_id
0,agk,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000009837
1,slc25a46,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000035181
2,arl8a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000078686
3,dlst,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000014230
4,sh2b1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000057679
5,arfgef2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000074702
6,rdh14a,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000039299
7,anxa11b,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000002632
8,cmtm7,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000010032
9,pim1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000100020
10,iffo2a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISSING
11,-,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,MISSING
12,col4a5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000052063
13,rhov,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000070434
14,si:ch73-281k2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000104329
15,ccdc50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,MISSING
16,slc31a2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000076092
17,rbbp6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000037919
18,si:ch211-215j19.12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ENSDARG00000104072
19,ncalda,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000070688
20,hic2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000100497
21,kmt2ba,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000062962
22,cgnb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000058690
23,pick1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000071152
24,ndfip1l,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000102367
25,psd2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000063036
26,neurog1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000056130
27,mbd4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000110298
28,rfc5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000035634
29,trim55a,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000029596
30,pycr1a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000102254
31,tmem251,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,ENSDARG00000042341
32,nat10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000054259
33,tmem150aa,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000068227
34,spint2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000069476
35,nphp1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000009046
36,klhl8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000101270
37,asb13a.1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000079698
38,pknox1.2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000036542
39,cyb561a3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000028257
40,hnrnpl,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000035324
41,ssh2b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000098955
42,tpra1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000054930
43,cirbpb,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000013351
44,gys1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000016875
45,sorbs2b,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000061603
46,cnnm4a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000102380
47,purg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000099187
48,rasd2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,MISSING
49,slc38a4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000018149
50,igdcc4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000076919
51,aass,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000051816
52,mical3b,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000094732
53,nufip1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000101024
54,gdap1l1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000028628
55,gkap1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ENSDARG00000068123
56,sinhcafl,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000078118
57,itgb5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000012942
58,arhgap4a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000039265
59,larp4b,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ENSDARG00000062146
60,mt2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000041623
61,fance,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000068870
62,erp44,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000019008
63,acbd5b,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000058410
64,rhoca,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000021309
65,kcnk1a,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000045067
66,pcdh2ab6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000091043
67,rasgrf2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000002816
68,spred2a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000052435
69,arhgap12b,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,ENSDARG00000026482
70,hoxb4a,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,ENSDARG00000013533
71,lrrc8aa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000032188
72,armc5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,ENSDARG00000078083
73,znf576.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000078164
74,slc25a47a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000059923
75,wdr45b,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000021557
76,mxd4,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000054031
77,ano5a,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MISSING
78,nanos2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,ENSDARG00000116802
79,hm13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000037846
80,snrpd3l,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000076283
81,mycbp2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000001220
82,tmem106c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000098105
83,srpra,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000061124
84,si:ch211-106h11.3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000027360
85,si:dkey-66i24.8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000088084
86,vegfba,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000090997
87,apoc2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000092155
88,her12,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000032963
89,ptenb,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000056623
90,tnfaip3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000027777
91,pdxkb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000036546
92,eurl,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,MISSING
93,sdad1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000105117
94,chsy1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000079027
95,adgrl2b.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000111712
96,arhgef4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000012914
97,dnaja2a,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000104066
98,rdh14b,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000002467
99,atg13,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000036040
100,frmd8,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ENSDARG00000073696
101,si:ch73-236c18.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000104626
102,agpat4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000069044
103,msna,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000058128
104,pik3r3a,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000103038
105,cct5,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000045399
106,eloa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000102365
107,lmbr1l,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000004745
108,tjp1a,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,MISSING
109,ell2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000006251
110,cachd1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000061590
111,sebox,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000042526
112,si:ch211-162e15.3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,MISSING
113,camk2d1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000043010
114,si:ch73-57f22.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000087453
115,pgpep1l,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000041092
116,tbce,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000099921
117,sh3bp4a,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000020000
118,cngb1b,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000042107
119,ttc3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000086075
120,pax6b,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,ENSDARG00000045936
121,gadd45gb.1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000016725
122,ppm1e,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000026499
123,tfpt,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000089572
124,tmem120b,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000042929
125,tnfrsf1a,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000018569
126,dcaf13,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,ENSDARG00000002267
127,ndufs8b,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000057055
