Gene,sox2,gata1a,foxh1,sall4,nanog,smad2,rad21a,eomesa,ctcf,hif1ab,pou5f1,rnf2,tbxta,zic3,tbx6,sox10,tbx16
agk,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
slc25a46,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
arl8a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dlst,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sh2b1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
arfgef2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rdh14a,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
anxa11b,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cmtm7,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
pim1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
iffo2a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
col4a5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
rhov,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
si:ch73-281k2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ccdc50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
slc31a2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
rbbp6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
si:ch211-215j19.12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ncalda,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
hic2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
kmt2ba,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
cgnb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pick1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ndfip1l,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
psd2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
neurog1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
mbd4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rfc5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
trim55a,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pycr1a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tmem251,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
nat10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tmem150aa,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
spint2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nphp1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
klhl8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
asb13a.1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
pknox1.2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
cyb561a3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hnrnpl,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ssh2b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tpra1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cirbpb,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
gys1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sorbs2b,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cnnm4a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
purg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rasd2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
slc38a4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
igdcc4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
