,Gene name,Gene stable ID
0,fam162a,ENSDARG00000063344
1,si:ch211-235i11.3,ENSDARG00000097685
2,caly,ENSDARG00000036008
3,TMEM177,ENSDARG00000069301
4,OSTC,ENSDARG00000104901
5,vps37c,ENSDARG00000031836
6,RAB9B,ENSDARG00000103391
7,TPPP3,ENSDARG00000030463
8,znf1029,ENSDARG00000103031
9,SLC39A9,ENSDARG00000070447
10,KIF16B,ENSDARG00000080018
11,MTX1,ENSDARG00000036109
12,gpkow,ENSDARG00000029612
13,SAMD4A,ENSDARG00000075759
14,zgc:158270,ENSDARG00000068484
15,DYNC2I2,ENSDARG00000057635
16,GRIA3,ENSDARG00000032737
17,EML5,ENSDARG00000053517
18,si:dkey-27d5.7,ENSDARG00000111826
19,si:dkeyp-87d1.6,ENSDARG00000098335
20,si:dkey-20d21.6,ENSDARG00000092715
21,si:dkey-251i8.2,ENSDARG00000095834
22,CREB3L1,ENSDARG00000015793
23,CDC42,ENSDARG00000044573
24,SYT2,ENSDARG00000025206
25,tspan33b,ENSDARG00000042189
26,adamts13,ENSDARG00000076270
27,gnal,ENSDARG00000045415
28,si:dkey-238o14.1,ENSDARG00000100099
29,TMEM240,ENSDARG00000087916
30,foxo3a,ENSDARG00000023058
31,osmr,ENSDARG00000100738
32,si:ch211-197e18.1,ENSDARG00000097888
33,parvg,ENSDARG00000067711
34,si:ch211-198m17.1,ENSDARG00000091834
35,DNAH3,ENSDARG00000068468
36,or30bu1,ENSDARG00000101806
37,si:ch211-190h11.2,ENSDARG00000105445
38,ap5b1,ENSDARG00000078805
39,nhej1,ENSDARG00000058893
40,si:dkeyp-69b9.3,ENSDARG00000088881
41,si:dkey-85n7.7,ENSDARG00000095893
42,nlgn3b,ENSDARG00000062376
43,pitpnaa,ENSDARG00000039490
44,CTU1,ENSDARG00000020986
45,nitr12,ENSDARG00000098626
46,wfdc2,ENSDARG00000089187
47,si:dkey-157e10.8,ENSDARG00000101165
48,STX5,ENSDARG00000003175
49,si:dkeyp-68b7.12,ENSDARG00000074846
50,ldlrb,ENSDARG00000026759
51,si:ch211-59m15.1,ENSDARG00000098213
52,KIF7,ENSDARG00000033099
53,si:ch211-137i24.14,ENSDARG00000096970
54,NARF,ENSDARG00000024184
55,si:ch211-220m6.5,ENSDARG00000076901
56,NRAP,ENSDARG00000009341
57,or41a1,ENSDARG00000100546
58,GPR155,ENSDARG00000090804
59,SNX27,ENSDARG00000016977
60,alcamb,ENSDARG00000058538
61,hamp,ENSDARG00000102175
62,NT5C1B,ENSDARG00000018153
63,ARAF,ENSDARG00000054533
64,si:ch211-163b2.2,ENSDARG00000092243
65,ISCA2,ENSDARG00000038154
66,si:dkey-33c9.6,ENSDARG00000036420
67,RPTOR,ENSDARG00000098726
68,si:dkeyp-120g4.1,ENSDARG00000098677
69,si:dkey-71h2.4,ENSDARG00000096511
70,INTS15,ENSDARG00000037652
71,CAMKV,ENSDARG00000027963
72,si:ch211-149e23.4,ENSDARG00000097726
73,,ENSDARG00000105456
74,si:ch211-122l14.8,ENSDARG00000095680
75,PLOD2,ENSDARG00000011821
76,si:ch211-122l14.7,ENSDARG00000095576
77,tmem54b,ENSDARG00000035875
78,rpgrb,ENSDARG00000057074
79,crfb16,ENSDARG00000075181
80,TOR1B,ENSDARG00000077950
81,FLRT2,ENSDARG00000079355
82,RASGEF1B,ENSDARG00000044251
83,si:ch211-276a17.5,ENSDARG00000096398
84,pxmp2,ENSDARG00000003144
85,TMEM214,ENSDARG00000016968
86,FA2H,ENSDARG00000090063
87,NDUFB7,ENSDARG00000033789
88,CTDP1,ENSDARG00000017522
89,ANKHD1,ENSDARG00000077860
90,si:ch211-123o7.6,ENSDARG00000097025
91,trim35-31,ENSDARG00000052097
92,traj55,ENSDARG00000098675
93,CYP27B1,ENSDARG00000045015
94,si:ch73-281i18.6,ENSDARG00000101490
95,SLC7A10,ENSDARG00000008100
96,MRPL51,ENSDARG00000041340
97,pimr190,ENSDARG00000087757
98,si:ch211-198e20.6,ENSDARG00000110990
99,si:dkey-149i17.8,ENSDARG00000092491
100,FRS2,ENSDARG00000045873
101,usp43b,ENSDARG00000088072
102,si:dkeyp-100h4.8,ENSDARG00000096208
103,asmt2,ENSDARG00000070874
104,,ENSDARG00000105588
105,ipp,ENSDARG00000075339
106,USP3,ENSDARG00000045641
107,HMGCS1,ENSDARG00000103025
108,ugt5c3,ENSDARG00000061439
109,traj6,ENSDARG00000102553
110,si:ch211-271d10.2,ENSDARG00000104269
111,SGMS2,ENSDARG00000052520
112,HAPLN4,ENSDARG00000018542
113,OLIG3,ENSDARG00000074253
114,abhd15a,ENSDARG00000078768
115,zgc:171695,ENSDARG00000100858
116,TAFA1,ENSDARG00000062357
117,ANKEF1,ENSDARG00000019135
118,crfb4,ENSDARG00000068711
119,vmo1a,ENSDARG00000043002
