Gene	Pred	Actual
b'ENSDARG00000000068'	b'0.059419647'	b'-0.173192402727744'
b'ENSDARG00000000103'	b'0.059419647'	b'1.1814173616054855'
b'ENSDARG00000000380'	b'0.059419647'	b'-0.875303348805909'
b'ENSDARG00000000423'	b'0.059419647'	b'-0.1484453948881963'
b'ENSDARG00000000489'	b'0.059419647'	b'1.2495145525165612'
b'ENSDARG00000000516'	b'0.059419647'	b'-0.8446379957506519'
b'ENSDARG00000000588'	b'0.059419647'	b'-0.0895924766741201'
b'ENSDARG00000000730'	b'0.059419647'	b'-0.0657860955284204'
b'ENSDARG00000000857'	b'0.059419647'	b'0.702590604599672'
b'ENSDARG00000000935'	b'0.059419647'	b'-0.2297109458706707'
b'ENSDARG00000000966'	b'0.059419647'	b'0.1271018869962314'
b'ENSDARG00000001437'	b'0.059419647'	b'1.3999783902000504'
b'ENSDARG00000001769'	b'0.059419647'	b'0.431476675781503'
b'ENSDARG00000001781'	b'0.059419647'	b'-0.1696728710110085'
b'ENSDARG00000001818'	b'0.059419647'	b'-0.4084685893360367'
b'ENSDARG00000001906'	b'0.059419647'	b'-1.0672899237494748'
b'ENSDARG00000002016'	b'0.059419647'	b'-0.0504874330888175'
b'ENSDARG00000002082'	b'0.059419647'	b'1.858381105372474'
b'ENSDARG00000002128'	b'0.059419647'	b'1.0669625221316617'
b'ENSDARG00000002193'	b'0.059419647'	b'-1.0076718601093992'
b'ENSDARG00000002197'	b'0.059419647'	b'-0.2361051282808975'
b'ENSDARG00000002249'	b'0.059419647'	b'-0.9992841696023044'
b'ENSDARG00000002304'	b'0.059419647'	b'0.32720862398449'
b'ENSDARG00000002344'	b'0.059419647'	b'3.737495299145471'
b'ENSDARG00000002405'	b'0.059419647'	b'0.0809077693391375'
b'ENSDARG00000002508'	b'0.059419647'	b'-0.9816206059700424'
b'ENSDARG00000002607'	b'0.059419647'	b'-0.7820171245891034'
b'ENSDARG00000002690'	b'0.059419647'	b'1.5631579255236698'
b'ENSDARG00000002707'	b'0.059419647'	b'0.2569300755708391'
b'ENSDARG00000002710'	b'0.059419647'	b'3.091888984426204'
b'ENSDARG00000002787'	b'0.059419647'	b'1.193979450924779'
b'ENSDARG00000002872'	b'0.059419647'	b'0.2814240888591597'
b'ENSDARG00000002947'	b'0.059419647'	b'-0.0014858513789085'
b'ENSDARG00000002949'	b'0.059419647'	b'1.5258545630875235'
b'ENSDARG00000002959'	b'0.059419647'	b'-1.091598717576009'
b'ENSDARG00000002968'	b'0.059419647'	b'0.3454142163606483'
b'ENSDARG00000003132'	b'0.059419647'	b'1.3238678185238115'
b'ENSDARG00000003229'	b'0.059419647'	b'-0.99901419160993'
b'ENSDARG00000003270'	b'0.059419647'	b'0.7683228295648082'
b'ENSDARG00000003307'	b'0.059419647'	b'0.8872325859614056'
b'ENSDARG00000003380'	b'0.059419647'	b'-0.5113592710627026'
b'ENSDARG00000003398'	b'0.059419647'	b'1.5559553420308223'
b'ENSDARG00000003449'	b'0.059419647'	b'-0.9297182968397992'
b'ENSDARG00000003531'	b'0.059419647'	b'1.8180397191873667'
b'ENSDARG00000003599'	b'0.059419647'	b'4.4647159090056325'
b'ENSDARG00000003750'	b'0.059419647'	b'1.5039067304824614'
b'ENSDARG00000003751'	b'0.059419647'	b'0.5245202524331882'
b'ENSDARG00000003899'	b'0.059419647'	b'-0.2650152972736724'
b'ENSDARG00000003920'	b'0.059419647'	b'3.160668314963451'
b'ENSDARG00000003938'	b'0.059419647'	b'1.5102482206561554'
b'ENSDARG00000003941'	b'0.059419647'	b'2.349044672342873'
b'ENSDARG00000003968'	b'0.059419647'	b'-1.0487389158067475'
b'ENSDARG00000003974'	b'0.059419647'	b'0.6473507526154303'
b'ENSDARG00000003984'	b'0.059419647'	b'0.4376069288862989'
b'ENSDARG00000003989'	b'0.059419647'	b'-0.9993644717250048'
b'ENSDARG00000003994'	b'0.059419647'	b'-0.7629139079146732'
b'ENSDARG00000004037'	b'0.059419647'	b'0.4280631371752707'
b'ENSDARG00000004160'	b'0.059419647'	b'0.36127635133685'
b'ENSDARG00000004169'	b'0.059419647'	b'2.6999977943509275'
b'ENSDARG00000004218'	b'0.059419647'	b'0.7242615690226596'
b'ENSDARG00000004232'	b'0.059419647'	b'2.19643603085754'
b'ENSDARG00000004274'	b'0.059419647'	b'-0.0675208278938989'
b'ENSDARG00000004307'	b'0.059419647'	b'-0.5216594102624516'
b'ENSDARG00000004311'	b'0.059419647'	b'0.016388673992406'
b'ENSDARG00000004433'	b'0.059419647'	b'-0.5550308537991197'
b'ENSDARG00000004455'	b'0.059419647'	b'0.2549330277048249'
b'ENSDARG00000004460'	b'0.059419647'	b'0.5600963857477358'
b'ENSDARG00000004497'	b'0.059419647'	b'0.2347744078133239'
b'ENSDARG00000004498'	b'0.059419647'	b'-1.0687638757605529'
b'ENSDARG00000004539'	b'0.059419647'	b'1.0274430208831224'
b'ENSDARG00000004576'	b'0.059419647'	b'0.963487112508771'
b'ENSDARG00000004680'	b'0.059419647'	b'0.964328875732326'
b'ENSDARG00000004692'	b'0.059419647'	b'1.9785511309388517'
b'ENSDARG00000004724'	b'0.059419647'	b'0.337428117947098'
b'ENSDARG00000004753'	b'0.059419647'	b'-0.9964061005847592'
b'ENSDARG00000004763'	b'0.059419647'	b'-0.1969455312658564'
b'ENSDARG00000004823'	b'0.059419647'	b'-0.9983618889044285'
b'ENSDARG00000004840'	b'0.059419647'	b'0.9150082059212814'
b'ENSDARG00000004880'	b'0.059419647'	b'-0.1988310205629377'
b'ENSDARG00000004988'	b'0.059419647'	b'-0.5190494364343166'
b'ENSDARG00000005010'	b'0.059419647'	b'1.4853157155252952'
b'ENSDARG00000005050'	b'0.059419647'	b'-0.9432986328754204'
b'ENSDARG00000005098'	b'0.059419647'	b'1.1733895833075585'
b'ENSDARG00000005122'	b'0.059419647'	b'1.1044430194188772'
b'ENSDARG00000005134'	b'0.059419647'	b'1.3847125448662585'
b'ENSDARG00000005179'	b'0.059419647'	b'-0.5647929956058629'
b'ENSDARG00000005210'	b'0.059419647'	b'0.0738244315169281'
b'ENSDARG00000005232'	b'0.059419647'	b'-0.4601780563386133'
b'ENSDARG00000005315'	b'0.059419647'	b'1.548238333018912'
b'ENSDARG00000005320'	b'0.059419647'	b'-0.3164836824655532'
b'ENSDARG00000005350'	b'0.059419647'	b'0.4140117354690573'
b'ENSDARG00000005359'	b'0.059419647'	b'1.59589894765407'
b'ENSDARG00000005382'	b'0.059419647'	b'0.5622694159086704'
b'ENSDARG00000005448'	b'0.059419647'	b'0.2600362725534515'
b'ENSDARG00000005476'	b'0.059419647'	b'-0.1270473247525002'
b'ENSDARG00000005518'	b'0.059419647'	b'-0.5158617471191116'
b'ENSDARG00000005525'	b'0.059419647'	b'1.1265415098525215'
b'ENSDARG00000005549'	b'0.059419647'	b'0.7629958449487958'
b'ENSDARG00000005652'	b'0.059419647'	b'-0.3316745391799819'
b'ENSDARG00000005670'	b'0.059419647'	b'-0.7421370983922279'
b'ENSDARG00000005679'	b'0.059419647'	b'-0.3151723766899737'
b'ENSDARG00000005754'	b'0.059419647'	b'0.1162454395907533'
b'ENSDARG00000005772'	b'0.059419647'	b'1.3581324194504494'
b'ENSDARG00000005799'	b'0.059419647'	b'0.0337369059297943'
b'ENSDARG00000005870'	b'0.059419647'	b'1.1063904705060328'
b'ENSDARG00000005941'	b'0.059419647'	b'0.7334788095288161'
b'ENSDARG00000006110'	b'0.059419647'	b'-0.5732858395605617'
b'ENSDARG00000006200'	b'0.059419647'	b'1.9296720742879545'
b'ENSDARG00000006202'	b'0.059419647'	b'0.0251998414575751'
b'ENSDARG00000006215'	b'0.059419647'	b'1.1624997413107754'
b'ENSDARG00000006279'	b'0.059419647'	b'-0.2693180705352984'
b'ENSDARG00000006385'	b'0.059419647'	b'0.7006980872310125'
b'ENSDARG00000006447'	b'0.059419647'	b'-0.9410320693094388'
b'ENSDARG00000006474'	b'0.059419647'	b'-0.184147987277493'
b'ENSDARG00000006491'	b'0.059419647'	b'-0.3203915491199555'
b'ENSDARG00000006494'	b'0.059419647'	b'0.2020517806785531'
b'ENSDARG00000006560'	b'0.059419647'	b'-1.064811394244355'
b'ENSDARG00000006585'	b'0.059419647'	b'0.210444400827007'
b'ENSDARG00000006588'	b'0.059419647'	b'0.9721803843973224'
b'ENSDARG00000006609'	b'0.059419647'	b'1.282529942887906'
b'ENSDARG00000006683'	b'0.059419647'	b'0.0603158978598579'
b'ENSDARG00000006754'	b'0.059419647'	b'-0.2381473909351439'
b'ENSDARG00000006758'	b'0.059419647'	b'0.5767888808910125'
b'ENSDARG00000006811'	b'0.059419647'	b'-0.9242446235895788'
b'ENSDARG00000006859'	b'0.059419647'	b'1.2502535193500577'
b'ENSDARG00000006889'	b'0.059419647'	b'-0.6301808762822857'
b'ENSDARG00000006921'	b'0.059419647'	b'0.2976734185879666'
b'ENSDARG00000006924'	b'0.059419647'	b'0.452555316713687'
b'ENSDARG00000007092'	b'0.059419647'	b'0.6976010224735785'
b'ENSDARG00000007125'	b'0.059419647'	b'0.2805445181397696'
b'ENSDARG00000007207'	b'0.059419647'	b'0.6723410903573779'
b'ENSDARG00000007279'	b'0.059419647'	b'1.2862071882926394'
b'ENSDARG00000007289'	b'0.059419647'	b'0.0397202938173234'
b'ENSDARG00000007323'	b'0.059419647'	b'1.20715915318761'
b'ENSDARG00000007344'	b'0.059419647'	b'0.0963263482642057'
b'ENSDARG00000007398'	b'0.059419647'	b'-0.9549339855363363'
b'ENSDARG00000007405'	b'0.059419647'	b'1.917779019045544'
b'ENSDARG00000007409'	b'0.059419647'	b'0.2041326375167068'
b'ENSDARG00000007531'	b'0.059419647'	b'0.9947231415053523'
b'ENSDARG00000007560'	b'0.059419647'	b'-0.1569774109433334'
b'ENSDARG00000007582'	b'0.059419647'	b'0.0164034145000077'
b'ENSDARG00000007603'	b'0.059419647'	b'0.1911685320673884'
b'ENSDARG00000007639'	b'0.059419647'	b'0.322115417814381'
b'ENSDARG00000007654'	b'0.059419647'	b'-0.0293548921242463'
