Gene ID	Representative Transcript ID	Chromosome	TSS	strand
ENSDARG00000000001	ENSDART00000000004	9	34121839	-
ENSDARG00000000018	ENSDART00000181044	4	15103696	-
ENSDARG00000000019	ENSDART00000124452	4	15011341	+
ENSDARG00000000068	ENSDART00000000069	12	33484458	+
ENSDARG00000000069	ENSDART00000000070	24	22103585	-
ENSDARG00000000086	ENSDART00000132378	1	47089818	-
ENSDARG00000000103	ENSDART00000150939	6	7553085	+
ENSDARG00000000142	ENSDART00000135082	10	13279079	+
ENSDARG00000000151	ENSDART00000000160	3	34753605	-
ENSDARG00000000161	ENSDART00000153266	20	25436389	-
ENSDARG00000000175	ENSDART00000146636	3	23752150	+
ENSDARG00000000183	ENSDART00000000192	22	11833334	-
ENSDARG00000000189	ENSDART00000160555	16	30002605	+
ENSDARG00000000212	ENSDART00000105808	22	11756040	+
ENSDARG00000000229	ENSDART00000171036	22	567733	+
ENSDARG00000000241	ENSDART00000000250	9	41103127	+
ENSDARG00000000349	ENSDART00000151109	21	22828500	+
ENSDARG00000000369	ENSDART00000135209	9	14108896	-
ENSDARG00000000380	ENSDART00000189157	14	25035010	-
ENSDARG00000000394	ENSDART00000144168	14	25099988	-
ENSDARG00000000423	ENSDART00000186670	7	32629760	+
ENSDARG00000000442	ENSDART00000121972	7	32693890	+
ENSDARG00000000476	ENSDART00000002053	9	41025062	-
ENSDARG00000000489	ENSDART00000010019	14	33351103	-
ENSDARG00000000503	ENSDART00000081951	19	5254699	-
ENSDARG00000000516	ENSDART00000100342	9	41077934	-
ENSDARG00000000529	ENSDART00000000552	9	54716436	+
ENSDARG00000000540	ENSDART00000187769	9	41090343	-
ENSDARG00000000542	ENSDART00000000566	9	27720612	-
ENSDARG00000000551	ENSDART00000057584	13	24448278	-
ENSDARG00000000563	ENSDART00000125953	9	42873700	-
ENSDARG00000000567	ENSDART00000155518	3	38783951	-
ENSDARG00000000568	ENSDART00000185845	22	20924747	-
ENSDARG00000000588	ENSDART00000103343	23	32236122	-
ENSDARG00000000631	ENSDART00000000670	9	29029980	-
ENSDARG00000000638	ENSDART00000000678	6	41200500	+
ENSDARG00000000651	ENSDART00000000693	9	41040294	+
ENSDARG00000000656	ENSDART00000000698	19	7120380	+
ENSDARG00000000666	ENSDART00000142726	9	7238839	-
ENSDARG00000000690	ENSDART00000000744	8	25079470	+
ENSDARG00000000729	ENSDART00000123443	19	7033636	-
ENSDARG00000000730	ENSDART00000132484	6	41138855	-
ENSDARG00000000747	ENSDART00000144481	9	27720267	+
ENSDARG00000000760	ENSDART00000000831	13	24669258	-
ENSDARG00000000767	ENSDART00000036729	7	32659353	-
ENSDARG00000000779	ENSDART00000134735	17	28797395	-
ENSDARG00000000796	ENSDART00000184206	23	32194397	-
ENSDARG00000000804	ENSDART00000000887	10	13209580	+
ENSDARG00000000830	ENSDART00000131975	24	37799818	+
ENSDARG00000000837	ENSDART00000104476	17	33158350	+
ENSDARG00000000853	ENSDART00000106645	22	506522	-
ENSDARG00000000857	ENSDART00000187430	8	23826985	+
ENSDARG00000000861	ENSDART00000174204	7	41160225	+
ENSDARG00000000887	ENSDART00000138849	23	32101361	+
ENSDARG00000000906	ENSDART00000052660	16	20934353	+
ENSDARG00000000935	ENSDART00000190278	12	36416173	+
ENSDARG00000000943	ENSDART00000125912	6	7249531	+
ENSDARG00000000966	ENSDART00000051139	8	43574935	-
ENSDARG00000001014	ENSDART00000182438	3	5228841	-
ENSDARG00000001015	ENSDART00000167640	19	6988866	-
ENSDARG00000001127	ENSDART00000003494	25	35250976	+
ENSDARG00000001129	ENSDART00000170429	17	19466319	-
ENSDARG00000001162	ENSDART00000173345	14	25078580	-
ENSDARG00000001169	ENSDART00000001331	19	7173613	+
ENSDARG00000001210	ENSDART00000001376	7	32629458	-
ENSDARG00000001220	ENSDART00000039157	9	17286330	-
ENSDARG00000001234	ENSDART00000009367	7	17690983	-
ENSDARG00000001241	ENSDART00000143285	7	41146560	+
ENSDARG00000001244	ENSDART00000149241	17	25426091	+
ENSDARG00000001249	ENSDART00000001424	14	5407555	-
ENSDARG00000001259	ENSDART00000034313	25	35304903	+
ENSDARG00000001303	ENSDART00000104838	19	7110617	-
ENSDARG00000001313	ENSDART00000001444	17	28811747	-
ENSDARG00000001354	ENSDART00000191395	6	41144155	+
ENSDARG00000001414	ENSDART00000189030	18	23373683	+
ENSDARG00000001431	ENSDART00000001649	7	7048245	+
ENSDARG00000001437	ENSDART00000025414	23	22200467	+
ENSDARG00000001442	ENSDART00000105745	14	32824408	-
ENSDARG00000001447	ENSDART00000142545	2	5836116	-
ENSDARG00000001452	ENSDART00000001678	13	24671481	+
ENSDARG00000001463	ENSDART00000001691	17	25414033	+
ENSDARG00000001470	ENSDART00000176803	1	47122141	-
ENSDARG00000001498	ENSDART00000153030	12	27156943	+
ENSDARG00000001549	ENSDART00000001795	9	2762398	+
ENSDARG00000001557	ENSDART00000191243	6	52235118	-
ENSDARG00000001558	ENSDART00000160482	19	6990970	+
ENSDARG00000001559	ENSDART00000132471	19	36675023	-
ENSDARG00000001578	ENSDART00000001830	13	24579108	+
ENSDARG00000001621	ENSDART00000135973	8	25034411	-
ENSDARG00000001634	ENSDART00000009695	7	19146926	-
ENSDARG00000001656	ENSDART00000001930	19	7115229	-
ENSDARG00000001676	ENSDART00000085693	9	54840209	-
ENSDARG00000001686	ENSDART00000030885	8	23009662	+
ENSDARG00000001710	ENSDART00000139122	19	6938289	+
ENSDARG00000001712	ENSDART00000160570	11	8320868	-
ENSDARG00000001721	ENSDART00000098303	2	42960353	-
ENSDARG00000001729	ENSDART00000126967	17	28706946	+
ENSDARG00000001733	ENSDART00000191186	9	42606681	+
ENSDARG00000001734	ENSDART00000002029	22	20950448	-
ENSDARG00000001754	ENSDART00000122945	23	23179417	-
ENSDARG00000001760	ENSDART00000185748	16	16643377	-
ENSDARG00000001767	ENSDART00000131646	21	27413294	-
ENSDARG00000001769	ENSDART00000026903	21	15756549	+
ENSDARG00000001771	ENSDART00000132859	2	6303639	+
ENSDARG00000001776	ENSDART00000012089	7	62320134	+
ENSDARG00000001777	ENSDART00000010626	10	1636452	-
ENSDARG00000001781	ENSDART00000193598	4	11172964	+
ENSDARG00000001782	ENSDART00000158112	11	8129536	+
ENSDARG00000001785	ENSDART00000183394	16	563732	-
ENSDARG00000001788	ENSDART00000005879	9	33145522	+
ENSDARG00000001803	ENSDART00000134201	3	31784082	-
ENSDARG00000001804	ENSDART00000183087	3	56871984	-
ENSDARG00000001807	ENSDART00000037855	20	35841570	-
ENSDARG00000001818	ENSDART00000108737	22	26175237	-
ENSDARG00000001829	ENSDART00000024606	24	24111674	-
ENSDARG00000001835	ENSDART00000186889	9	31747106	-
ENSDARG00000001857	ENSDART00000151748	21	43199237	+
ENSDARG00000001859	ENSDART00000015681	25	14507567	+
ENSDARG00000001870	ENSDART00000048828	1	1689775	+
ENSDARG00000001873	ENSDART00000012938	9	48214216	-
ENSDARG00000001880	ENSDART00000073707	14	21699129	+
ENSDARG00000001881	ENSDART00000087280	23	14097508	+
ENSDARG00000001882	ENSDART00000188187	6	40722480	-
ENSDARG00000001888	ENSDART00000144755	13	10731325	-
ENSDARG00000001889	ENSDART00000009277	23	35708730	+
ENSDARG00000001890	ENSDART00000102525	16	39477746	-
ENSDARG00000001891	ENSDART00000136079	20	9278252	-
ENSDARG00000001897	ENSDART00000004780	11	31276080	-
ENSDARG00000001898	ENSDART00000189936	17	15667285	-
ENSDARG00000001906	ENSDART00000025860	21	20229926	+
ENSDARG00000001909	ENSDART00000048940	24	20444844	-
ENSDARG00000001910	ENSDART00000173723	7	29625509	-
ENSDARG00000001912	ENSDART00000169248	4	19982119	-
ENSDARG00000001913	ENSDART00000185940	2	20410652	+
ENSDARG00000001929	ENSDART00000006436	23	37466967	+
ENSDARG00000001930	ENSDART00000183812	24	16980337	-
ENSDARG00000001933	ENSDART00000142649	2	13056802	+
ENSDARG00000001937	ENSDART00000019804	17	48433817	+
ENSDARG00000001939	ENSDART00000149966	7	25015151	+
ENSDARG00000001940	ENSDART00000079518	2	21174998	+
ENSDARG00000001950	ENSDART00000013404	5	71722257	-
ENSDARG00000001953	ENSDART00000041402	4	25485404	-
ENSDARG00000001968	ENSDART00000135834	8	6825588	-
ENSDARG00000001969	ENSDART00000103449	11	12801157	-
ENSDARG00000001971	ENSDART00000147072	16	47483142	-
ENSDARG00000001975	ENSDART00000141211	7	35126374	-
ENSDARG00000001993	ENSDART00000156295	6	40756138	-
ENSDARG00000001994	ENSDART00000015629	21	13861589	+
ENSDARG00000001999	ENSDART00000004120	7	42460302	+
ENSDARG00000002002	ENSDART00000157127	22	39096911	+
ENSDARG00000002006	ENSDART00000180168	16	18534834	+
ENSDARG00000002013	ENSDART00000140665	19	23249822	-
ENSDARG00000002016	ENSDART00000051663	5	12908781	+
ENSDARG00000002021	ENSDART00000022830	17	21126495	+
ENSDARG00000002031	ENSDART00000056544	2	38080075	-
ENSDARG00000002037	ENSDART00000156276	11	18800299	-
ENSDARG00000002060	ENSDART00000160174	10	41302909	-
ENSDARG00000002071	ENSDART00000018155	13	11536951	-
ENSDARG00000002077	ENSDART00000006648	13	31648271	+
ENSDARG00000002082	ENSDART00000008297	16	31452418	-
ENSDARG00000002084	ENSDART00000147326	23	20258490	-
ENSDARG00000002097	ENSDART00000149308	3	1749793	+
ENSDARG00000002127	ENSDART00000141170	2	31437547	+
ENSDARG00000002128	ENSDART00000026509	4	17642731	+
ENSDARG00000002131	ENSDART00000077926	4	24019711	-
ENSDARG00000002165	ENSDART00000005105	24	12945803	+
ENSDARG00000002167	ENSDART00000111707	3	16227683	-
ENSDARG00000002168	ENSDART00000021266	9	12594759	-
ENSDARG00000002172	ENSDART00000074125	8	40327397	-
ENSDARG00000002174	ENSDART00000013313	4	17539134	+
ENSDARG00000002184	ENSDART00000006899	5	36530836	+
ENSDARG00000002190	ENSDART00000018472	1	33558555	+
ENSDARG00000002192	ENSDART00000064798	22	10487490	-
ENSDARG00000002193	ENSDART00000027000	8	54077740	-
ENSDARG00000002194	ENSDART00000020663	13	45523026	-
ENSDARG00000002196	ENSDART00000164375	10	25369254	+
ENSDARG00000002197	ENSDART00000149011	13	36863039	-
ENSDARG00000002204	ENSDART00000026430	21	20383837	+
ENSDARG00000002210	ENSDART00000149363	6	27057702	-
ENSDARG00000002213	ENSDART00000015688	16	27442549	+
ENSDARG00000002215	ENSDART00000021666	22	16291041	-
ENSDARG00000002216	ENSDART00000006380	5	72324371	-
ENSDARG00000002217	ENSDART00000021736	14	48939560	-
ENSDARG00000002219	ENSDART00000132828	13	23270576	-
ENSDARG00000002220	ENSDART00000015076	5	33298352	-
ENSDARG00000002230	ENSDART00000114173	8	49432061	-
ENSDARG00000002231	ENSDART00000006216	2	52232630	+
ENSDARG00000002235	ENSDART00000005884	7	24149670	-
ENSDARG00000002240	ENSDART00000024082	23	44546152	-
ENSDARG00000002249	ENSDART00000144246	18	12655766	+
ENSDARG00000002255	ENSDART00000022349	24	41940299	+
ENSDARG00000002259	ENSDART00000112433	12	4346085	-
ENSDARG00000002264	ENSDART00000012268	5	25072894	+
ENSDARG00000002267	ENSDART00000015139	16	44673851	-
ENSDARG00000002271	ENSDART00000024450	10	15603082	+
ENSDARG00000002285	ENSDART00000146101	1	45671687	+
ENSDARG00000002293	ENSDART00000105455	22	17463643	-
ENSDARG00000002298	ENSDART00000028003	12	17154655	+
ENSDARG00000002299	ENSDART00000032992	9	55594965	-
ENSDARG00000002300	ENSDART00000190310	5	12824607	-
ENSDARG00000002304	ENSDART00000033746	18	30499489	-
ENSDARG00000002305	ENSDART00000012385	9	34260214	-
ENSDARG00000002311	ENSDART00000012718	16	16152199	-
ENSDARG00000002330	ENSDART00000019078	2	11205795	+
ENSDARG00000002332	ENSDART00000024386	13	36958086	+
ENSDARG00000002333	ENSDART00000020183	20	33790003	-
ENSDARG00000002336	ENSDART00000018514	15	20468302	-
ENSDARG00000002339	ENSDART00000007726	3	15496610	-
ENSDARG00000002344	ENSDART00000041279	14	5861435	+
ENSDARG00000002347	ENSDART00000073566	25	22320738	+
ENSDARG00000002353	ENSDART00000177422	17	45405821	+
