Gene ID,Representative Transcript ID,Chromosome,TSS,strand
ENSSSCG00000000002,ENSSSCT00000000003,5,3242789,-
ENSSSCG00000000003,ENSSSCT00000000004,5,3270778,-
ENSSSCG00000000005,ENSSSCT00000000006,5,3292022,+
ENSSSCG00000000006,ENSSSCT00000000007,5,3364239,-
ENSSSCG00000000007,ENSSSCT00000000008,5,3224366,-
ENSSSCG00000000010,ENSSSCT00000000011,5,3927183,-
ENSSSCG00000000014,ENSSSCT00000000015,5,4101287,-
ENSSSCG00000000018,ENSSSCT00000061018,5,4152128,+
ENSSSCG00000000019,ENSSSCT00000059699,5,4219230,-
ENSSSCG00000000020,ENSSSCT00000086082,5,4291918,+
ENSSSCG00000000021,ENSSSCT00000056308,5,4450465,-
ENSSSCG00000000022,ENSSSCT00000000023,5,4649183,+
ENSSSCG00000000024,ENSSSCT00000072505,5,4980727,-
ENSSSCG00000000025,ENSSSCT00000065458,5,4898647,-
ENSSSCG00000000026,ENSSSCT00000000027,5,5131252,+
ENSSSCG00000000029,ENSSSCT00000042951,5,5561505,+
ENSSSCG00000000031,ENSSSCT00000034350,5,5742185,+
ENSSSCG00000000033,ENSSSCT00000000035,5,5735131,-
ENSSSCG00000000034,ENSSSCT00000000036,5,5701583,+
ENSSSCG00000000035,ENSSSCT00000072800,5,5793978,+
ENSSSCG00000000036,ENSSSCT00000063611,5,5853418,+
ENSSSCG00000000037,ENSSSCT00000073891,5,5994174,+
ENSSSCG00000000038,ENSSSCT00000091240,5,6146276,+
ENSSSCG00000000039,ENSSSCT00000086723,5,6174852,+
ENSSSCG00000000040,ENSSSCT00000069730,5,6654152,-
ENSSSCG00000000045,ENSSSCT00000000049,5,6562011,+
ENSSSCG00000000046,ENSSSCT00000000051,5,6538907,+
ENSSSCG00000000050,ENSSSCT00000046821,5,6571020,+
ENSSSCG00000000058,ENSSSCT00000038079,5,6891022,+
ENSSSCG00000000059,ENSSSCT00000070289,5,6929045,-
ENSSSCG00000000061,ENSSSCT00000000067,5,6964999,+
ENSSSCG00000000062,ENSSSCT00000000068,5,6988366,-
ENSSSCG00000000063,ENSSSCT00000000069,5,6997939,+
ENSSSCG00000000064,ENSSSCT00000000070,5,7071025,-
ENSSSCG00000000066,ENSSSCT00000000072,5,7277576,-
ENSSSCG00000000068,ENSSSCT00000026332,5,7393760,-
ENSSSCG00000000071,ENSSSCT00000098740,5,7588213,+
ENSSSCG00000000072,ENSSSCT00000050054,5,7622678,+
ENSSSCG00000000074,ENSSSCT00000000080,5,7738701,-
ENSSSCG00000000076,ENSSSCT00000031184,5,8017768,-
ENSSSCG00000000077,ENSSSCT00000071651,5,8047603,-
ENSSSCG00000000078,ENSSSCT00000073558,5,8311429,-
ENSSSCG00000000079,ENSSSCT00000045170,5,8354276,-
ENSSSCG00000000080,ENSSSCT00000000086,5,8445068,-
ENSSSCG00000000081,ENSSSCT00000000087,5,8447873,+
