Gene	Pred	Actual
b'ENSDARG00000000068'	b'0.6473046'	b'1'
b'ENSDARG00000000103'	b'0.65249014'	b'1'
b'ENSDARG00000000380'	b'0.51283514'	b'0'
b'ENSDARG00000000423'	b'0.5518768'	b'1'
b'ENSDARG00000000489'	b'0.6059432'	b'1'
b'ENSDARG00000000516'	b'0.5837755'	b'0'
b'ENSDARG00000000588'	b'0.65191305'	b'1'
b'ENSDARG00000000730'	b'0.62221897'	b'1'
b'ENSDARG00000000857'	b'0.5537524'	b'1'
b'ENSDARG00000000935'	b'0.5866381'	b'1'
b'ENSDARG00000000966'	b'0.66023207'	b'1'
b'ENSDARG00000001437'	b'0.5780442'	b'0'
b'ENSDARG00000001769'	b'0.64980245'	b'1'
b'ENSDARG00000001781'	b'0.65377474'	b'1'
b'ENSDARG00000001818'	b'0.6383839'	b'0'
b'ENSDARG00000001906'	b'0.6308362'	b'0'
b'ENSDARG00000002016'	b'0.61965954'	b'1'
b'ENSDARG00000002082'	b'0.6388068'	b'1'
b'ENSDARG00000002128'	b'0.59599245'	b'1'
b'ENSDARG00000002193'	b'0.4302314'	b'0'
b'ENSDARG00000002197'	b'0.60617876'	b'1'
b'ENSDARG00000002249'	b'0.63830316'	b'1'
b'ENSDARG00000002304'	b'0.62069046'	b'1'
b'ENSDARG00000002344'	b'0.47644725'	b'1'
b'ENSDARG00000002405'	b'0.6401409'	b'1'
b'ENSDARG00000002508'	b'0.56988865'	b'0'
b'ENSDARG00000002607'	b'0.6444123'	b'1'
b'ENSDARG00000002690'	b'0.46536335'	b'1'
b'ENSDARG00000002707'	b'0.5211164'	b'0'
b'ENSDARG00000002710'	b'0.59886795'	b'1'
b'ENSDARG00000002787'	b'0.61347926'	b'1'
b'ENSDARG00000002872'	b'0.57302624'	b'1'
b'ENSDARG00000002947'	b'0.6341922'	b'1'
b'ENSDARG00000002949'	b'0.58769697'	b'1'
b'ENSDARG00000002959'	b'0.43519002'	b'0'
b'ENSDARG00000002968'	b'0.59249955'	b'1'
b'ENSDARG00000003132'	b'0.525435'	b'1'
b'ENSDARG00000003229'	b'0.55987203'	b'0'
b'ENSDARG00000003270'	b'0.620041'	b'1'
b'ENSDARG00000003307'	b'0.64713717'	b'1'
b'ENSDARG00000003380'	b'0.58107483'	b'1'
b'ENSDARG00000003398'	b'0.56907535'	b'1'
b'ENSDARG00000003449'	b'0.6424437'	b'1'
b'ENSDARG00000003531'	b'0.5922389'	b'1'
b'ENSDARG00000003599'	b'0.49936384'	b'1'
b'ENSDARG00000003750'	b'0.63964415'	b'1'
b'ENSDARG00000003751'	b'0.59731627'	b'1'
b'ENSDARG00000003899'	b'0.5373182'	b'1'
b'ENSDARG00000003920'	b'0.5589309'	b'1'
b'ENSDARG00000003938'	b'0.6409866'	b'1'
b'ENSDARG00000003941'	b'0.43026668'	b'1'
b'ENSDARG00000003968'	b'0.56111646'	b'0'
b'ENSDARG00000003974'	b'0.64986944'	b'1'
b'ENSDARG00000003984'	b'0.6515484'	b'1'
b'ENSDARG00000003989'	b'0.67815804'	b'0'
b'ENSDARG00000003994'	b'0.6593238'	b'0'
b'ENSDARG00000004037'	b'0.62114763'	b'1'
b'ENSDARG00000004160'	b'0.645803'	b'1'
b'ENSDARG00000004169'	b'0.5331166'	b'1'
b'ENSDARG00000004218'	b'0.6328491'	b'1'
b'ENSDARG00000004232'	b'0.5607346'	b'0'
b'ENSDARG00000004274'	b'0.6086743'	b'1'
b'ENSDARG00000004307'	b'0.6194446'	b'1'
b'ENSDARG00000004311'	b'0.6415118'	b'1'
b'ENSDARG00000004433'	b'0.6104226'	b'1'
b'ENSDARG00000004455'	b'0.6226975'	b'0'
b'ENSDARG00000004460'	b'0.62962115'	b'1'
b'ENSDARG00000004497'	b'0.6142502'	b'1'
b'ENSDARG00000004498'	b'0.526988'	b'0'
b'ENSDARG00000004539'	b'0.5520458'	b'0'
b'ENSDARG00000004576'	b'0.6068725'	b'0'
b'ENSDARG00000004680'	b'0.5145719'	b'1'
b'ENSDARG00000004692'	b'0.5263183'	b'1'
b'ENSDARG00000004724'	b'0.6204201'	b'1'
b'ENSDARG00000004753'	b'0.6301811'	b'0'
b'ENSDARG00000004763'	b'0.51008415'	b'0'
b'ENSDARG00000004823'	b'0.60432065'	b'0'
b'ENSDARG00000004840'	b'0.6219105'	b'1'
b'ENSDARG00000004880'	b'0.62356293'	b'0'
b'ENSDARG00000004988'	b'0.6542553'	b'0'
b'ENSDARG00000005010'	b'0.43979424'	b'1'
b'ENSDARG00000005050'	b'0.5791069'	b'0'
b'ENSDARG00000005098'	b'0.57968867'	b'1'
b'ENSDARG00000005122'	b'0.63777304'	b'1'
b'ENSDARG00000005134'	b'0.6525544'	b'1'
b'ENSDARG00000005179'	b'0.57409114'	b'1'
b'ENSDARG00000005210'	b'0.65877163'	b'1'
b'ENSDARG00000005232'	b'0.63455737'	b'1'
b'ENSDARG00000005315'	b'0.6270274'	b'1'
b'ENSDARG00000005320'	b'0.59848917'	b'0'
b'ENSDARG00000005350'	b'0.6359282'	b'1'
b'ENSDARG00000005359'	b'0.62179947'	b'1'
b'ENSDARG00000005382'	b'0.55779445'	b'1'
b'ENSDARG00000005448'	b'0.6075321'	b'1'
b'ENSDARG00000005476'	b'0.6046488'	b'1'
b'ENSDARG00000005518'	b'0.50157297'	b'0'
b'ENSDARG00000005525'	b'0.5297859'	b'1'
b'ENSDARG00000005549'	b'0.5465517'	b'1'
b'ENSDARG00000005652'	b'0.6808492'	b'1'
b'ENSDARG00000005670'	b'0.516883'	b'0'
b'ENSDARG00000005679'	b'0.66034746'	b'1'
b'ENSDARG00000005754'	b'0.6626965'	b'1'
b'ENSDARG00000005772'	b'0.57171774'	b'1'
b'ENSDARG00000005799'	b'0.6217213'	b'1'
b'ENSDARG00000005870'	b'0.59445393'	b'1'
b'ENSDARG00000005941'	b'0.63391876'	b'1'
b'ENSDARG00000006110'	b'0.64718604'	b'0'
b'ENSDARG00000006200'	b'0.62447006'	b'1'
b'ENSDARG00000006202'	b'0.66518486'	b'1'
b'ENSDARG00000006215'	b'0.6076564'	b'1'
b'ENSDARG00000006279'	b'0.6532159'	b'1'
b'ENSDARG00000006385'	b'0.5656102'	b'1'
b'ENSDARG00000006447'	b'0.61206824'	b'0'
b'ENSDARG00000006474'	b'0.54654217'	b'0'
b'ENSDARG00000006491'	b'0.635077'	b'1'
b'ENSDARG00000006494'	b'0.64001733'	b'1'
b'ENSDARG00000006560'	b'0.49757105'	b'0'
b'ENSDARG00000006585'	b'0.5104649'	b'1'
b'ENSDARG00000006588'	b'0.52971995'	b'1'
b'ENSDARG00000006609'	b'0.62214935'	b'1'
b'ENSDARG00000006683'	b'0.6102264'	b'1'
b'ENSDARG00000006754'	b'0.6504899'	b'1'
b'ENSDARG00000006758'	b'0.5585247'	b'1'
b'ENSDARG00000006811'	b'0.57705235'	b'1'
b'ENSDARG00000006859'	b'0.643826'	b'1'
b'ENSDARG00000006889'	b'0.6520908'	b'1'
b'ENSDARG00000006921'	b'0.6486651'	b'1'
b'ENSDARG00000006924'	b'0.64832807'	b'1'
b'ENSDARG00000007092'	b'0.61847407'	b'1'
b'ENSDARG00000007125'	b'0.5797756'	b'1'
b'ENSDARG00000007207'	b'0.6277157'	b'1'
b'ENSDARG00000007279'	b'0.58019507'	b'1'
b'ENSDARG00000007289'	b'0.58014786'	b'1'
b'ENSDARG00000007323'	b'0.62534845'	b'1'
b'ENSDARG00000007344'	b'0.4718532'	b'1'
b'ENSDARG00000007398'	b'0.61065006'	b'1'
b'ENSDARG00000007405'	b'0.59477246'	b'1'
b'ENSDARG00000007409'	b'0.55615747'	b'1'
b'ENSDARG00000007531'	b'0.46999055'	b'1'
b'ENSDARG00000007560'	b'0.62593067'	b'1'
b'ENSDARG00000007582'	b'0.53017944'	b'0'
b'ENSDARG00000007603'	b'0.61353123'	b'1'
b'ENSDARG00000007639'	b'0.64825135'	b'1'
b'ENSDARG00000007654'	b'0.63795424'	b'0'
b'ENSDARG00000007678'	b'0.6552903'	b'1'
