Gene ID,Representative Transcript ID,5' UTR len,3' UTR len,ORF len,5' UTR gc,3' UTR gc,ORF gc,Intron len,Exon junction density
ENSDARG00000000001,ENSDART00000000004,57,1096,6156,0.5789473684210527,0.3740875912408759,0.36176088369070825,7297,1.1371020142949968
ENSDARG00000000018,ENSDART00000181044,122,1346,18814,0.6065573770491803,0.3439821693907875,0.3584033166790688,19299,0.5315190815350271
ENSDARG00000000019,ENSDART00000124452,119,2087,46329,0.44537815126050423,0.39386679444178246,0.3467590494074985,45778,0.1295085151848734
ENSDARG00000000068,ENSDART00000000069,138,740,51790,0.463768115942029,0.36486486486486486,0.3518632940722147,50636,0.09654373431164318
ENSDARG00000000069,ENSDART00000000070,153,1388,31754,0.47058823529411764,0.3335734870317003,0.3319581784971972,31437,0.09447628645210052
ENSDARG00000000086,ENSDART00000132378,208,304,72203,0.5288461538461539,0.46381578947368424,0.36418154370317024,84697,0.5262939213052089
ENSDARG00000000103,ENSDART00000150939,201,1266,101405,0.5174129353233831,0.3988941548183254,0.36153049652384006,97773,0.4043193136433115
ENSDARG00000000142,ENSDART00000135082,89,601,3000,0.5280898876404494,0.35108153078202997,0.35433333333333333,6693,0.6666666666666666
ENSDARG00000000151,ENSDART00000000160,449,559,27018,0.48552338530066813,0.44543828264758495,0.3526537863646458,54036,0.3331112591605596
ENSDARG00000000161,ENSDART00000153266,240,44,53019,0.5416666666666666,0.4090909090909091,0.3434429166902431,72122,0.7167241932137536
ENSDARG00000000175,ENSDART00000146636,66,536,2079,0.4090909090909091,0.31902985074626866,0.47955747955747957,850,0.481000481000481
ENSDARG00000000183,ENSDART00000000192,17,3618,51646,0.7058823529411765,0.3742399115533444,0.3411106378035085,48839,0.4840645935793672
ENSDARG00000000189,ENSDART00000160555,447,3778,93305,0.44742729306487694,0.3679195341450503,0.34907025346980336,261420,0.19291570655377524
ENSDARG00000000212,ENSDART00000105808,56,130,2880,0.48214285714285715,0.33076923076923076,0.4097222222222222,1564,2.430555555555556
ENSDARG00000000229,ENSDART00000171036,146,3257,11788,0.5547945205479452,0.38992938286766965,0.38556158805564983,11525,0.508992195453003
ENSDARG00000000241,ENSDART00000000250,260,1831,8660,0.4307692307692308,0.3664664117968323,0.3446882217090069,6972,0.8083140877598153
ENSDARG00000000349,ENSDART00000151109,174,230,3811,0.3850574712643678,0.2956521739130435,0.3279979008134348,2993,1.574389923904487
ENSDARG00000000369,ENSDART00000135209,71,233,17471,0.5352112676056338,0.3605150214592275,0.35195466773510387,17235,0.6868524984259631
ENSDARG00000000380,ENSDART00000189157,938,0,28283,0.32409381663113007,0,0.3572464024325567,25755,0.7071385638015769
ENSDARG00000000394,ENSDART00000144168,250,273,15753,0.456,0.3333333333333333,0.37008823716117567,16216,1.333079413445058
ENSDARG00000000423,ENSDART00000186670,156,0,14282,0.4358974358974359,0,0.32985576249824955,13569,0.7001820473323064
