Gene	Pred	Actual
b'ENSDARG00000000068'	b'-0.60741794'	b'-0.3690442123659233'
b'ENSDARG00000000103'	b'-0.6100141'	b'-0.0332746727117547'
b'ENSDARG00000000380'	b'-0.5374876'	b'-0.9252157142870634'
b'ENSDARG00000000423'	b'-0.590996'	b'-0.3425362549281354'
b'ENSDARG00000000489'	b'-0.25476658'	b'0.4672103599993654'
b'ENSDARG00000000516'	b'-0.7053691'	b'-0.9470561312805076'
b'ENSDARG00000000588'	b'-0.4892067'	b'-0.3015104120596982'
b'ENSDARG00000000730'	b'-0.32127234'	b'0.0068590216912361'
b'ENSDARG00000000857'	b'-0.54244286'	b'0.0520897899818968'
b'ENSDARG00000000935'	b'-0.05756896'	b'-0.4912858459451758'
b'ENSDARG00000000966'	b'-0.6309114'	b'-0.2763958663070979'
b'ENSDARG00000001437'	b'-0.5173301'	b'-0.7779970987535438'
b'ENSDARG00000001769'	b'-0.45385683'	b'-0.4512097410470395'
b'ENSDARG00000001781'	b'-0.33263022'	b'-0.4946782552927482'
b'ENSDARG00000001818'	b'-0.58166486'	b'-0.6985096672120928'
b'ENSDARG00000001906'	b'-0.6729941'	b'-0.961880043294022'
b'ENSDARG00000002016'	b'-0.7898123'	b'-0.5359552768197245'
b'ENSDARG00000002082'	b'-0.073592976'	b'0.7288700067283106'
b'ENSDARG00000002128'	b'-0.38741934'	b'-0.0497848573396822'
b'ENSDARG00000002193'	b'-0.24934901'	b'-1.0'
b'ENSDARG00000002197'	b'-0.38765213'	b'-0.1338302136517107'
b'ENSDARG00000002249'	b'-0.8981859'	b'-0.5991594615492334'
b'ENSDARG00000002304'	b'-0.5126638'	b'-0.8780457774133549'
b'ENSDARG00000002344'	b'-0.47515467'	b'1.930072674160917'
b'ENSDARG00000002405'	b'-0.39885923'	b'-0.13301896893846'
b'ENSDARG00000002508'	b'-0.22055611'	b'-1.0'
b'ENSDARG00000002607'	b'-0.70806116'	b'-0.6772849550833527'
b'ENSDARG00000002690'	b'-0.21462964'	b'0.6323656889488786'
b'ENSDARG00000002707'	b'-0.16307648'	b'-0.8801920556035403'
b'ENSDARG00000002710'	b'-0.12828854'	b'1.2918779819763024'
b'ENSDARG00000002787'	b'-0.44497135'	b'-0.2150077926977137'
b'ENSDARG00000002872'	b'-0.60339326'	b'-0.3202352872258802'
b'ENSDARG00000002947'	b'-0.25422573'	b'-0.0133706172818926'
b'ENSDARG00000002949'	b'-0.46214184'	b'0.7012840631240578'
b'ENSDARG00000002959'	b'-0.5860304'	b'-0.8540825377273124'
b'ENSDARG00000002968'	b'-0.40239942'	b'-0.3713683951163208'
b'ENSDARG00000003132'	b'-0.57724303'	b'0.1751654740803988'
b'ENSDARG00000003229'	b'-0.36148113'	b'-0.8613627562469098'
b'ENSDARG00000003270'	b'-0.27185634'	b'0.2583983034621646'
