Gene	start	end	length
ENSSSCG00000028996	226161299	226217308	56009
ENSSSCG00000005267	226414306	226432279	17973
ENSSSCG00000005268	227574648	227772671	198023
ENSSSCG00000005269	227811204	227963309	152105
ENSSSCG00000031382	228033996	228045013	11017
ENSSSCG00000005271	228054915	228092263	37348
ENSSSCG00000005272	228113327	228141890	28563
ENSSSCG00000005273	228142041	228197035	54994
ENSSSCG00000045514	228530439	228533349	2910
ENSSSCG00000023520	228854595	229308906	454311
ENSSSCG00000037277	229329092	229337075	7983
ENSSSCG00000005277	229429066	229468268	39202
ENSSSCG00000004361	68057538	68679256	621718
ENSSSCG00000004349	66232181	66346575	114394
ENSSSCG00000004272	49868613	49977965	109352
ENSSSCG00000037594	66350969	66381454	30485
ENSSSCG00000044472	50045065	50399969	354904
ENSSSCG00000004261	44899219	44899545	326
ENSSSCG00000050732	66381413	66382252	839
ENSSSCG00000004351	66387608	66454737	67129
ENSSSCG00000004262	44900497	44938947	38450
ENSSSCG00000038757	66459987	66467850	7863
ENSSSCG00000004353	66471782	66499188	27406
ENSSSCG00000005284	230341942	230546120	204178
ENSSSCG00000004263	44939951	44961145	21194
ENSSSCG00000021802	225150682	225193287	42605
ENSSSCG00000031105	225193689	225263647	69958
ENSSSCG00000004354	66538862	66546409	7547
ENSSSCG00000004355	66579143	66579910	767
ENSSSCG00000034919	225403138	225589827	186689
ENSSSCG00000023834	44963886	44985202	21316
ENSSSCG00000032533	45010227	45026102	15875
ENSSSCG00000031854	66642754	66643547	793
ENSSSCG00000025941	45170468	45180289	9821
ENSSSCG00000004356	66837600	66877276	39676
ENSSSCG00000030268	225703200	225714365	11165
ENSSSCG00000027002	64078669	64307183	228514
ENSSSCG00000005266	225929109	226109469	180360
ENSSSCG00000005288	232355959	232504763	148804
ENSSSCG00000035934	182102736	182203048	100312
ENSSSCG00000005036	182203309	182261516	58207
ENSSSCG00000004241	40988528	41002156	13628
ENSSSCG00000005037	182265261	182318195	52934
ENSSSCG00000004242	41057838	41265375	207537
ENSSSCG00000035799	182296753	182297785	1032
ENSSSCG00000044458	182297328	182297749	421
ENSSSCG00000005291	234277843	234370593	92750
ENSSSCG00000005038	182328521	182354958	26437
ENSSSCG00000028308	40854764	40856799	2035
ENSSSCG00000033805	234370868	234563638	192770
ENSSSCG00000037497	234573878	234581120	7242
ENSSSCG00000033763	230605265	230907674	302409
ENSSSCG00000004344	64306073	64459904	153831
ENSSSCG00000005286	231081196	231115940	34744
ENSSSCG00000004274	50403361	50498332	94971
ENSSSCG00000005039	182357607	182407782	50175
ENSSSCG00000005040	182407229	182423441	16212
ENSSSCG00000004250	43653460	43837390	183930
ENSSSCG00000005287	231142625	231172360	29735
ENSSSCG00000005041	182519684	182606869	87185
ENSSSCG00000020885	44156778	44186194	29416
ENSSSCG00000004252	44204550	44229727	25177
ENSSSCG00000043640	233074856	233083273	8417
ENSSSCG00000004253	44239383	44287198	47815
ENSSSCG00000044537	233373122	233375646	2524
ENSSSCG00000041232	226289707	226295226	5519
ENSSSCG00000049009	65433363	65439091	5728
ENSSSCG00000044799	65556847	65560269	3422
ENSSSCG00000004364	70993342	71105012	111670
ENSSSCG00000005043	182667428	182754207	86779
ENSSSCG00000004254	44276675	44373687	97012
ENSSSCG00000026978	44410351	44534874	124523
ENSSSCG00000005045	183416146	183422637	6491
ENSSSCG00000005047	183792688	183809174	16486
ENSSSCG00000019939	232489748	232489888	140
ENSSSCG00000037612	71159251	71296217	136966
ENSSSCG00000004366	71314274	71360175	45901
ENSSSCG00000027256	183810849	183829207	18358
ENSSSCG00000045461	44505565	44547070	41505
ENSSSCG00000004255	44549412	44557797	8385
ENSSSCG00000004367	71380770	71400191	19421
ENSSSCG00000039333	44765451	44823510	58059
ENSSSCG00000004368	71496306	71636747	140441
ENSSSCG00000026294	183846680	183863398	16718
ENSSSCG00000035648	62887881	62945583	57702
ENSSSCG00000038522	44889665	44897571	7906
ENSSSCG00000035259	45219448	45296401	76953
ENSSSCG00000021451	183876919	183903897	26978
ENSSSCG00000038507	179454928	179461631	6703
ENSSSCG00000042849	63600847	63605716	4869
ENSSSCG00000004269	46531662	46649722	118060
ENSSSCG00000004339	63638596	63700476	61880
ENSSSCG00000005004	179462247	179475334	13087
ENSSSCG00000004347	65872123	65935703	63580
ENSSSCG00000004357	67214337	67294397	80060
ENSSSCG00000005006	179476640	179479147	2507
ENSSSCG00000004275	50579715	50716357	136642
ENSSSCG00000035611	179477992	179479801	1809
ENSSSCG00000005008	179495214	179529896	34682
ENSSSCG00000004358	67331948	67657085	325137
ENSSSCG00000004270	48886491	49619769	733278
ENSSSCG00000032489	179540547	179605628	65081
ENSSSCG00000004990	171906198	172177720	271522
ENSSSCG00000004340	63705936	63754067	48131
ENSSSCG00000005009	179604921	179633156	28235
ENSSSCG00000043582	40662415	40697821	35406
ENSSSCG00000035240	63911310	63973869	62559
ENSSSCG00000005011	179622755	179670996	48241
ENSSSCG00000032312	163858123	163891527	33404
