Gene	Pred	Actual
b'ENSDARG00000000068'	b'0.59876275'	b'1'
b'ENSDARG00000000103'	b'0.59597576'	b'1'
b'ENSDARG00000000380'	b'0.59400207'	b'0'
b'ENSDARG00000000423'	b'0.5943111'	b'1'
b'ENSDARG00000000489'	b'0.5970441'	b'1'
b'ENSDARG00000000516'	b'0.5982692'	b'0'
b'ENSDARG00000000588'	b'0.597296'	b'1'
b'ENSDARG00000000730'	b'0.5950053'	b'1'
b'ENSDARG00000000857'	b'0.5948627'	b'1'
b'ENSDARG00000000935'	b'0.5938134'	b'1'
b'ENSDARG00000000966'	b'0.59022987'	b'1'
b'ENSDARG00000001437'	b'0.59364384'	b'0'
b'ENSDARG00000001769'	b'0.5975398'	b'1'
b'ENSDARG00000001781'	b'0.5969422'	b'1'
b'ENSDARG00000001818'	b'0.5954781'	b'0'
b'ENSDARG00000001906'	b'0.5920103'	b'0'
b'ENSDARG00000002016'	b'0.5957893'	b'1'
b'ENSDARG00000002082'	b'0.6010841'	b'1'
b'ENSDARG00000002128'	b'0.5943613'	b'1'
b'ENSDARG00000002193'	b'0.592495'	b'0'
b'ENSDARG00000002197'	b'0.59313655'	b'1'
b'ENSDARG00000002249'	b'0.5995181'	b'1'
b'ENSDARG00000002304'	b'0.5927987'	b'1'
b'ENSDARG00000002344'	b'0.595839'	b'1'
b'ENSDARG00000002405'	b'0.59392524'	b'1'
b'ENSDARG00000002508'	b'0.59995043'	b'0'
b'ENSDARG00000002607'	b'0.5962235'	b'1'
b'ENSDARG00000002690'	b'0.5979446'	b'1'
b'ENSDARG00000002707'	b'0.5952024'	b'0'
b'ENSDARG00000002710'	b'0.5975709'	b'1'
b'ENSDARG00000002787'	b'0.59777987'	b'1'
b'ENSDARG00000002872'	b'0.5995567'	b'1'
b'ENSDARG00000002947'	b'0.5956661'	b'1'
b'ENSDARG00000002949'	b'0.5980592'	b'1'
b'ENSDARG00000002959'	b'0.59683096'	b'0'
b'ENSDARG00000002968'	b'0.59374416'	b'1'
b'ENSDARG00000003132'	b'0.59433436'	b'1'
b'ENSDARG00000003229'	b'0.59858704'	b'0'
b'ENSDARG00000003270'	b'0.6014515'	b'1'
b'ENSDARG00000003307'	b'0.5982717'	b'1'
b'ENSDARG00000003380'	b'0.60096514'	b'1'
b'ENSDARG00000003398'	b'0.59172106'	b'1'
b'ENSDARG00000003449'	b'0.5945292'	b'1'
b'ENSDARG00000003531'	b'0.5937337'	b'1'
b'ENSDARG00000003599'	b'0.6002015'	b'1'
b'ENSDARG00000003750'	b'0.5925009'	b'1'
b'ENSDARG00000003751'	b'0.59706056'	b'1'
b'ENSDARG00000003899'	b'0.5999706'	b'1'
b'ENSDARG00000003920'	b'0.59940493'	b'1'
b'ENSDARG00000003938'	b'0.5945097'	b'1'
b'ENSDARG00000003941'	b'0.5945615'	b'1'
b'ENSDARG00000003968'	b'0.59613013'	b'0'
b'ENSDARG00000003974'	b'0.59437263'	b'1'
b'ENSDARG00000003984'	b'0.5950905'	b'1'
b'ENSDARG00000003989'	b'0.5988002'	b'0'
b'ENSDARG00000003994'	b'0.5987718'	b'0'
b'ENSDARG00000004037'	b'0.5917207'	b'1'
b'ENSDARG00000004160'	b'0.59459424'	b'1'
b'ENSDARG00000004169'	b'0.5960984'	b'1'
b'ENSDARG00000004218'	b'0.6009078'	b'1'
b'ENSDARG00000004232'	b'0.59824777'	b'0'
b'ENSDARG00000004274'	b'0.5959747'	b'1'
b'ENSDARG00000004307'	b'0.59380203'	b'1'
b'ENSDARG00000004311'	b'0.5932182'	b'1'
b'ENSDARG00000004433'	b'0.596923'	b'1'
b'ENSDARG00000004455'	b'0.59906095'	b'0'
b'ENSDARG00000004460'	b'0.5974982'	b'1'
b'ENSDARG00000004497'	b'0.59774244'	b'1'
b'ENSDARG00000004498'	b'0.5953071'	b'0'
b'ENSDARG00000004539'	b'0.5972104'	b'0'
b'ENSDARG00000004576'	b'0.59496737'	b'0'
b'ENSDARG00000004680'	b'0.5947853'	b'1'
b'ENSDARG00000004692'	b'0.5953189'	b'1'
b'ENSDARG00000004724'	b'0.5968833'	b'1'
b'ENSDARG00000004753'	b'0.5958105'	b'0'
b'ENSDARG00000004763'	b'0.60272837'	b'0'
b'ENSDARG00000004823'	b'0.59509104'	b'0'
b'ENSDARG00000004840'	b'0.5913418'	b'1'
b'ENSDARG00000004880'	b'0.5998136'	b'0'
b'ENSDARG00000004988'	b'0.59421706'	b'0'
b'ENSDARG00000005010'	b'0.59773004'	b'1'
b'ENSDARG00000005050'	b'0.59739923'	b'0'
b'ENSDARG00000005098'	b'0.5934471'	b'1'
b'ENSDARG00000005122'	b'0.5965425'	b'1'
b'ENSDARG00000005134'	b'0.593467'	b'1'
b'ENSDARG00000005179'	b'0.5941834'	b'1'
b'ENSDARG00000005210'	b'0.5990983'	b'1'
b'ENSDARG00000005232'	b'0.5947005'	b'1'
b'ENSDARG00000005315'	b'0.59786755'	b'1'
b'ENSDARG00000005320'	b'0.5998228'	b'0'
b'ENSDARG00000005350'	b'0.59417707'	b'1'
b'ENSDARG00000005359'	b'0.59615433'	b'1'
b'ENSDARG00000005382'	b'0.59246737'	b'1'
b'ENSDARG00000005448'	b'0.59734'	b'1'
