Gene	start	end	length
ENSDARG00000009657	1722899	1730920	8021
ENSDARG00000096156	11099041	11106856	7815
ENSDARG00000076160	40835393	40839221	3828
ENSDARG00000117163	30409750	30422325	12575
ENSDARG00000096187	11112580	11122638	10058
ENSDARG00000076014	8213063	8515824	302761
ENSDARG00000098876	30428468	30440116	11648
ENSDARG00000031930	8376362	8515824	139462
ENSDARG00000096435	40839314	40839875	561
ENSDARG00000103471	30454496	30460765	6269
ENSDARG00000093665	40846483	40854534	8051
ENSDARG00000098144	40858450	40861846	3396
ENSDARG00000093658	1732825	1757460	24635
ENSDARG00000095324	5215950	5223170	7220
ENSDARG00000098510	40880433	40883162	2729
ENSDARG00000021336	19700308	19704628	4320
ENSDARG00000094646	13449775	13462784	13009
ENSDARG00000021595	22365061	22419743	54682
ENSDARG00000096039	11124613	11125650	1037
ENSDARG00000096153	11124614	11132617	8003
ENSDARG00000095200	49765093	49808690	43597
ENSDARG00000096463	40971399	40972393	994
ENSDARG00000102062	41057692	41196398	138706
ENSDARG00000090116	40953320	41014777	61457
ENSDARG00000102464	8532580	8663117	130537
ENSDARG00000095149	41157276	41166287	9011
ENSDARG00000092714	13499264	13502549	3285
ENSDARG00000112103	41082518	41088690	6172
ENSDARG00000096462	40970545	40971360	815
ENSDARG00000045801	8609517	8611841	2324
ENSDARG00000096855	8634704	8638629	3925
ENSDARG00000104074	30521650	30528239	6589
ENSDARG00000097754	16001238	16004425	3187
ENSDARG00000095103	16003900	16008167	4267
ENSDARG00000015623	5225552	5240128	14576
ENSDARG00000101202	30645966	30646791	825
ENSDARG00000102559	30707282	30712588	5306
ENSDARG00000030694	5240126	5247335	7209
ENSDARG00000093168	16013301	16019130	5829
ENSDARG00000093983	16019215	16022657	3442
ENSDARG00000030598	3358383	3385452	27069
ENSDARG00000092097	16040114	16042158	2044
ENSDARG00000113342	16042239	16046776	4537
ENSDARG00000097811	49819352	49820656	1304
ENSDARG00000116640	16051600	16055777	4177
ENSDARG00000113663	16060556	16064736	4180
ENSDARG00000101775	30775376	30780676	5300
ENSDARG00000112642	16069577	16073135	3558
ENSDARG00000090160	49821234	49952636	131402
ENSDARG00000045758	11135048	11148941	13893
ENSDARG00000096491	41202536	41209037	6501
ENSDARG00000045760	11144600	11165961	21361
ENSDARG00000096484	41216522	41223838	7316
ENSDARG00000031346	25497104	25515591	18487
ENSDARG00000024211	13507584	13509946	2362
ENSDARG00000096461	41212032	41226672	14640
ENSDARG00000099327	76291003	76303301	12298
ENSDARG00000017661	12074776	12102036	27260
ENSDARG00000007523	22424451	22472653	48202
ENSDARG00000045671	13517446	13518381	935
ENSDARG00000045672	13535054	13538714	3660
ENSDARG00000098115	30785713	30809237	23524
ENSDARG00000091561	49969199	49987980	18781
ENSDARG00000026839	1757462	1759555	2093
ENSDARG00000088961	50153271	50158550	5279
ENSDARG00000089179	50260361	50280956	20595
ENSDARG00000093424	50293905	50301837	7932
ENSDARG00000101374	30884012	31064584	180572
ENSDARG00000088616	50201633	50301790	100157
ENSDARG00000045544	19710657	19742303	31646
ENSDARG00000115818	30925543	30931296	5753
ENSDARG00000077356	3389866	3398385	8519
ENSDARG00000045673	13544595	13548806	4211
ENSDARG00000097907	3396322	3405050	8728
ENSDARG00000012684	16076719	16124419	47700
ENSDARG00000093557	8709082	8735591	26509
ENSDARG00000092583	41227127	41237028	9901
ENSDARG00000101849	8670662	8711031	40369
ENSDARG00000091477	50305577	50316818	11241
ENSDARG00000113005	31085014	31095639	10625
ENSDARG00000045675	13551400	13567516	16116
ENSDARG00000096065	50401133	50402316	1183
ENSDARG00000099699	31095829	31097622	1793
ENSDARG00000096481	41311345	41313146	1801
ENSDARG00000001781	11172964	11198055	25091
ENSDARG00000069555	41315144	41318590	3446
ENSDARG00000116546	41385580	41401765	16185
ENSDARG00000016979	1761029	1771308	10279
ENSDARG00000099595	41449611	41451378	1767
ENSDARG00000092596	41471349	41478148	6799
ENSDARG00000100479	31247968	31311955	63987
ENSDARG00000103186	76304911	76335199	30288
ENSDARG00000098143	31293362	31295322	1960
ENSDARG00000070477	1766333	1785120	18787
ENSDARG00000087743	50410452	50414313	3861
ENSDARG00000094888	50426233	50434519	8286
ENSDARG00000117132	50463619	50480048	16429
ENSDARG00000106667	50572302	50573195	893
ENSDARG00000110946	50701550	50722304	20754
ENSDARG00000045490	22480169	22483131	2962
ENSDARG00000089860	3438510	3446758	8248
ENSDARG00000101960	41516714	41523413	6699
ENSDARG00000097073	3446011	3456102	10091
ENSDARG00000039843	3455146	3475397	20251
ENSDARG00000093994	50726871	50740270	13399
ENSDARG00000089159	25607101	25620734	13633
ENSDARG00000104064	31327980	31412964	84984
ENSDARG00000096037	5249494	5253973	4479
ENSDARG00000096222	50755309	50759477	4168
ENSDARG00000094034	50776144	50788075	11931
ENSDARG00000014804	19768679	19884440	115761
ENSDARG00000018111	22484830	22519525	34695
ENSDARG00000096218	11202941	11238022	35081
ENSDARG00000102370	41528590	41535403	6813
ENSDARG00000101916	41555642	41582922	27280
ENSDARG00000096131	11245332	11248285	2953
ENSDARG00000088181	8849816	8903240	53424
ENSDARG00000015931	5260941	5302866	41925
ENSDARG00000094177	50891961	50897272	5311
ENSDARG00000102473	76336061	76348088	12027
ENSDARG00000045850	5255041	5273838	18797
ENSDARG00000114172	31450683	31501083	50400
ENSDARG00000103143	31535449	31795106	259657
ENSDARG00000101690	76349919	76361982	12063
ENSDARG00000077220	50920712	50933168	12456
ENSDARG00000103998	31634604	31647456	12852
ENSDARG00000109821	50970601	50975882	5281
ENSDARG00000099475	41675203	41680481	5278
ENSDARG00000104211	31555894	31557401	1507
ENSDARG00000103229	31535449	31699842	164393
ENSDARG00000099561	41602678	41613776	11098
ENSDARG00000098071	41770710	41780340	9630
ENSDARG00000113626	41598006	41772315	174309
ENSDARG00000100061	31653917	31700186	46269
ENSDARG00000101030	76362874	76370661	7787
ENSDARG00000102316	41789497	41798887	9390
ENSDARG00000077654	3478049	3745093	267044
ENSDARG00000114894	51026304	51045333	19029
ENSDARG00000102837	42009286	42015883	6597
ENSDARG00000102542	41834258	41847025	12767
ENSDARG00000057983	9769050	9781132	12082
ENSDARG00000098281	41816778	42014474	197696
ENSDARG00000070546	306036	308006	1970
ENSDARG00000045676	13568469	13576215	7746
ENSDARG00000034300	22613625	22652944	39319
ENSDARG00000045522	25627147	25647986	20839
ENSDARG00000020015	12102267	12106039	3772
ENSDARG00000101675	76377227	76383262	6035
ENSDARG00000019235	11311315	11368490	57175
ENSDARG00000063097	8906893	9008851	101958
ENSDARG00000045914	308688	317971	9283
ENSDARG00000100311	51542447	51598177	55730
ENSDARG00000105724	76387059	76387963	904
ENSDARG00000105810	76390924	76391931	1007
ENSDARG00000104208	76426421	76430594	4173
ENSDARG00000102679	76403698	76413981	10283
ENSDARG00000101883	76403698	76439984	36286
ENSDARG00000100294	76416268	76425444	9176
ENSDARG00000045677	13577665	13580348	2683
ENSDARG00000100578	51669730	51693601	23871
ENSDARG00000006747	12111154	12239160	128006
ENSDARG00000104852	42019169	42028856	9687
ENSDARG00000094980	12122794	12224810	102016
ENSDARG00000056938	16337156	16345227	8071
ENSDARG00000100640	51876285	51876639	354
ENSDARG00000001912	19946294	20027571	81277
ENSDARG00000014572	17707008	17725008	18000
ENSDARG00000056950	16317296	16334362	17066
ENSDARG00000104412	31943831	31993242	49411
ENSDARG00000032639	22658472	22671469	12997
ENSDARG00000100632	31949672	31954027	4355
ENSDARG00000103346	42031217	42039794	8577
ENSDARG00000033296	3980247	3998490	18243
ENSDARG00000045878	1788748	1801619	12871
ENSDARG00000100164	76440462	76450637	10175
ENSDARG00000056954	16315692	16319762	4070
ENSDARG00000089142	76455044	76465632	10588
ENSDARG00000099626	52031199	52053105	21906
ENSDARG00000045877	1809562	1818315	8753
ENSDARG00000098406	52050410	52083748	33338
ENSDARG00000077205	76466751	76474716	7965
ENSDARG00000029105	76468839	76494299	25460
ENSDARG00000006283	4079418	4111767	32349
ENSDARG00000068701	6643421	6647605	4184
ENSDARG00000097967	6678443	6692416	13973
ENSDARG00000110658	42065748	42074960	9212
ENSDARG00000069292	25651720	25666835	15115
ENSDARG00000103441	42078825	42091242	12417
ENSDARG00000045541	20063279	20069493	6214
ENSDARG00000045542	20051478	20054583	3105
ENSDARG00000045543	20049260	20063234	13974
ENSDARG00000103689	42152636	42171503	18867
ENSDARG00000105173	42175261	42193479	18218
ENSDARG00000068705	6735053	6749412	14359
ENSDARG00000045680	13586455	13605158	18703
ENSDARG00000012435	17807837	17812131	4294
ENSDARG00000087438	17801328	17805128	3800
ENSDARG00000097601	17793013	17823782	30769
ENSDARG00000094593	17736443	17737812	1369
ENSDARG00000016886	17821390	17823424	2034
ENSDARG00000102008	32174137	32180155	6018
ENSDARG00000045560	17726841	17793152	66311
ENSDARG00000075731	32384950	32393785	8835
ENSDARG00000098522	52116776	52122494	5718
ENSDARG00000007639	12243698	12286067	42369
ENSDARG00000039681	9011448	9025993	14545
ENSDARG00000011605	20071128	20081621	10493
ENSDARG00000045864	4115778	4119425	3647
ENSDARG00000113510	42379152	42398699	19547
ENSDARG00000109251	42288973	42294516	5543
ENSDARG00000063299	11375894	11450040	74146
ENSDARG00000098390	42195992	42397126	201134
ENSDARG00000079391	1821637	1824836	3199
ENSDARG00000045913	325028	330748	5720
ENSDARG00000098985	52153452	52159191	5739
ENSDARG00000109740	52158933	52165969	7036
ENSDARG00000105244	52148759	52154668	5909
ENSDARG00000101046	52162176	52170336	8160
ENSDARG00000099145	42338178	42344136	5958
ENSDARG00000070015	11401018	11404967	3949
ENSDARG00000100112	42295479	42302062	6583
ENSDARG00000101447	42334850	42338858	4008
ENSDARG00000073915	32467854	32471499	3645
ENSDARG00000095293	32429579	32646394	216815
ENSDARG00000045863	4120570	4129187	8617
ENSDARG00000091746	32429579	32466799	37220
ENSDARG00000021647	22680442	22714063	33621
ENSDARG00000057974	9813753	9822519	8766
ENSDARG00000100995	52177103	52186922	9819
ENSDARG00000102994	52212057	52220901	8844
ENSDARG00000101829	52234156	52245791	11635
ENSDARG00000063008	9784301	9810999	26698
ENSDARG00000093470	4166344	4167489	1145
ENSDARG00000068708	6799794	6809323	9529
